상호,주소,별점,메뉴
에이뿔램 군자점,서울 광진구 능동로36길 36 2층,4.8,"生 양갈비 프랜치랙(180g)(35,000원), 生 양갈비 숄더랙(240g)(35,000원), 生 양등심(180g)(30,000원), 양탕(12,000원), 양볶음밥(8,000원), 김치냉국수(6,000원), 된장찌개(6,000원), 스텔라 생맥주 330ml(8,000원), 하우스 와인(8,000원)"
소랑도,서울 광진구 천호대로111길 41 1층,4.5,"삼치회(35,000원), 병어(35,000원), 전어(35,000원), 간재미(35,000원), 갑오징어(35,000원), 갯장어 구이(40,000원)"
콩예원,서울 광진구 아차산로78길 75,4.0,"두루치기(20,000원), 청국장 정식(13,000원), 쌈정식(36,000원), 수육정식(36,000원), 떡갈비정식(17,000원), 묵밥(11,000원), 감자전(11,000원), 해물파전(19,000원), 떡갈비(18,000원), 두부김치(20,000원), 수육보쌈(32,000원), 도토리묵(11,000원), 코카콜라 캔（355mL）(2,000원), 스프라이트 캔（355mL）(2,000원)"
매복식당,서울 광진구 아차산로57길 10-1 1층 102호,4.6,"황지살(19,000원), 특상 로스삼겹(15,000원), 프리미엄 급랭삼겹(160g)(13,000원), 깻잎 목살(180g)(15,000원), 프리미엄 한우차돌(120g)(19,000원), 짜파게티 & 파김치(6,000원)"
힘찬갯벌낙지,서울 광진구 능동로37길 6,4.2,"산낙지 탕탕이(30,000원), 육회탕탕이(45,000원), 산낙지초무침(45,000원), 산낙지볶음(45,000원), 산낙지마른연포(45,000원), 산낙지연포탕(49,000원), 산낙지전골(49,000원), 문어숙회(25,000원), 문어마늘숙회(25,000원), 문어초무침(30,000원), 참소라(30,000원), 참소라초무침(35,000원), 오늘의 모듬 회 (소)(45,000원), 산우럭탕(30,000원), 매생이탕(13,000원)"
찌마기 구의점,서울 광진구 구의로 17,4.3,"석화찜(소)(43,000원), 찌마기 물회(33,000원), 조개찜 모듬(2인)(43,000원), 가리비찜(2인)(43,000원)"
육일관,서울 광진구 아차산로31길 10,3.5,"혼합 숙성 프라임 가브리살 (120g)(16,000원), 혼합 숙성 프라임 삼겹살 (150g)(15,000원), 혼합 숙성 프라임 목살 (150g)(15,000원), 혼합 숙성 프라임 항정살 (120g)(17,000원), 혼합 숙성 한우꽃등심 (150g)(48,000원), 혼합 숙성 한우치마살 (100g)(42,000원)"
깍뚝,서울 광진구 능동로19길 36 1층,,"숙성 삼겹살 한판 (600g)(25,900원), 숙성 목살 한판 (600g)(25,900원), 숙성 삼겹살 반판 (300g)(15,900원), 숙성 목살 반판 (300g)(15,900원), 돼지갈비 (250~300g)(11,900원), 소갈비살 (150g)(13,900원)"
서울편백찜 광장점,서울 광진구 광장로 83 1층,3.8,"（단품）소고기 편백찜(24,000원), （단품）새우 소고기 편백찜(28,000원), （단품）모둠버섯 편백찜(28,000원), 오징어 초무침(8,000원), 간장 새우밥(7,000원), 간장 낙지밥(7,000원), （Best）소고기 편백찜＋오징어초무침 세트(31,000원), 소고기 덮밥(8,000원), 소고기 전골(9,000원), 차돌된장찌개(8,000원), 새우소고기 편백찜＋오징어초무침 세트(35,000원), 모둠버섯 편백찜＋오징어초무침 세트(35,000원), 묵은지 어묵탕(8,000원)"
안동참찜닭 본점,서울 광진구 동일로20길 117 1층,4.5,"안동찜닭（소）(23,000원), 안동찜닭（중）(34,000원), 안동찜닭（대）(45,000원), 순살찜닭（소）(25,000원), 순살찜닭（중）(37,000원), 순살찜닭（대）(49,000원), 쪼림닭(35,000원), 화닭만두(8,000원), 메밀전병(10,000원), 찐만두(8,000원), 꼬무리만두(8,000원), 감자사리(2,000원), 당면사리(2,000원), 치즈떡사리(3,000원), 공기밥(1,000원), 치즈토핑(4,000원)"
