상호,주소,별점,메뉴
연스시,서울 광진구 아차산로 438,3.7,"사시미 (점심특선)(55,000원), 특초밥 (점심특선)(25,000원), 생대구탕/지리/탕 (점심특선)(18,000원), 복탕 (계절메뉴)(점심특선)(변동가격), 전복죽 (점심특선)(15,000원), 회덮밥 (점심특선)(15,000원), 특정식(1인) (저녁메뉴)(40,000원), 사시미 (저녁메뉴)(55,000원), 주방장특선(오마카세)(1인) (저녁메뉴)(90,000원)"
라멘다이야,서울 광진구 자양번영로6길 67 1층,4.6,"쇼유완탕멘 (간장)(9,000원)"
난바다스시 구의본점,"서울 광진구 자양로 109 구의현대홈시티 1층 106,107호",3.6,"초밥1접시(1,900원)"
동경규동 건대점,서울 광진구 아차산로 238 1층,4.1,"규동메가콤보(9,900원), 숙성등심가츠동(8,700원), 규동(6,500원), 치즈김치가츠동(9,700원)"
황제참치 건대점,서울 광진구 동일로22길 68 1층,2.5,"참치회（1~2人）30점(39,000원), 참치회（3~4人）50점(60,000원), 참치초밥  12ps(22,000원), （특）초밥  12ps(27,000원), （특선）초밥 12ps(36,000원), 도로초밥 12ps(53,000원), 혼술세트20ps（메카＋복육＋아카미＋목살＋죽＋장국＋샐러드＋회무침＋간장새우1＋무순＋생와사비＋락교＋단무지＋초생강＋산고추）(27,000원), 실장혼술세트（가마도로＋주도로＋메카도로＋혼꼬리＋죽＋장국＋샐러드＋회무침＋간장새우1＋무순＋생와사비＋락교＋단무지＋초생강＋산고추）(50,000원), 스페셜（1~2人）30점(49,000원), 스페셜（3~4人）50점(78,000원), （특）회덮밥(16,000원), （특）스페셜（1~2人）30점(63,000원), （특）스페셜（3~4人）50점(100,000원), 실장스페셜（1~2人）30점(73,000원), 실장스페셜 （3~4人）50점(116,000원), 황제스페셜（1~2人）30점(93,000원), 황제스페셜（3~4人）50점(150,000원), 간장새우 10ps(17,000원), 메로구이(32,000원), 사이다 355mL(2,500원)"
아울 구의점,서울 광진구 자양로18길 36,4.1,"로스까스(9,500원), 치킨까스(9,500원), 생선까스(9,500원), 김치볶음밥(7,000원), 새우튀김 우동(6,000원), 가쯔오 우동(6,000원), 꼬치오뎅우동(6,000원), 냉모밀(7,000원), 로스까스(반개)(7,000원)"
초라멘,서울 광진구 능동로13길 80 1층,4.6,"마제멘(9,200원), 토리파이탄(9,000원), 카라파이탄(9,000원)"
겐로쿠우동 건대직영점,서울 광진구 능동로 111 1층,3.8,"고기만두(3,000원), 지도리우동(9,000원), 니꾸우동(9,000원), 키즈네우동(8,000원), 자루우동(8,500원), 어린이세트(5,500원), 지도리소바(9,500원), 니꾸소바(9,500원), 키즈네소바(8,500원), 자루소바(9,000원), 고모꾸메시(2,500원), 이나리(2,500원), 타코야끼(3,800원)"
달팽이부엌,서울 광진구 자양번영로4길 19 1층,4.5,"돈까스정식(11,500원), 바질치즈돈까스(15,200원), 달부카레(8,000원), 소불고기 덮밥(11,800원), 치즈돈까스정식(13,200원), 달부카레세트(12,600원)"
모리본,서울 광진구 긴고랑로15길 6 1층,4.3,"광어 사시미(15,000원), 야끼교자(6,000원), 돼지고기숙주볶음(12,000원), 생등심돈까스(8,000원), 닭고기카라아게(12,000원)"
오마카세 오사이초밥 건대본점,서울 광진구 군자로 14 1층,4.2,"스시오마카세 런치(19,000원), 스시오마카세 디너(29,000원)"
스시자양,서울 광진구 뚝섬로 606 1층 3호,4.1,"런치 스시 오마카세(30,000원), 런치 테이블 오마카세(55,000원), 디너 스시 오마카세(45,000원), 디너 테이블 오마카세(65,000원)"
류지로,서울 광진구 능동로38길 39 현대빌딩 1층,,"사시미 모리아와세 (1人/2人/4人)(42,000원), 전어 스시(2p) コノシロすし2p(7,000원), 시로미 사시미 しろみ さしみ(30,000원), 연어 사시미 さけ(サーモン) さしみ(30,000원), 육회 ユッケ(28,000원), 이소베마끼 いそべまき(18,000원), 나메로(16,000원), 시메사바 しめさば(24,000원), 오마카세 스시 8p おまかせ すし8p(22,000원), 후토마끼 ふとまき(23,000원), 고등어봉초밥 さばぼうずし(26,000원), 모둠 튀김(22,000원), 흑임자 가라아게(15,000원), 타코 가라아게(17,000원), 멘치카츠(16,000원), 우삼겹나베(25,000원), 스지오뎅나베(28,000원), 삼치후라이(15,000원), 해물볶음우동(16,000원), 얼큰해물라면(10,000원), 안키모 あんきも(16,000원), 캬베츠(6,000원)"
만게츠,서울 광진구 능동로31길 14 1층,4.3,"호르몬동(9,900원)"
강경수참치,서울 광진구 아차산로33길 34 2층,3.9,"참치(1인)(45,000원), 준마이 다이긴죠(80,000원), 은하철도에 밤 준마이긴죠(60,000원), 우마미 히토스지 엔베이(30,000원), 준마이 사카야(30,000원)"
스시붐,서울 광진구 광나루로17길 14-5 1층,3.7,"레인보우롤(8,000원), 아보카도롤(8,000원), 크런치롤(8,000원), 베이키드연어롤(8,000원), 연어 (2pcs)(2,500원), 필라델피아롤(8,000원), 매운연어롤(8,000원), 하와이안롤(8,000원), 매운참치롤(8,000원), 인앤아웃연어롤(8,000원), 인앤아웃참치롤(8,000원), 타이거롤(8,000원), 팝콘랍스터롤(8,000원), 팝콘스칼럽롤(8,000원), 핫나이트롤(8,000원), 파이어크런치롤(8,000원), 불고기롤(8,000원), 케터피러롤(8,000원), 오징어(2PCS)(2,500원), 새우(2PCS)(2,000원), 생새우(2PCS)(2,500원)"
