상호,주소,별점
제주뜰갈치전문점,서울 광진구 구의로 6,4.2
구의동손칼국수,"서울 광진구 자양로 154 솔렌시아 1층 101, 102호",4.5
아차산손두부,서울 광진구 영화사로 68 1층,2.7
태천면옥,서울 광진구 광장로 49 1층,4.1
최신족발 건대직영점,서울 광진구 아차산로29길 63 1층,3.6
동대문곱창,서울 광진구 아차산로49길 9 1층,4.4
참토우 구의점,서울 광진구 구의강변로 81 1층,3.8
돼봉삼겹살 건대점,서울 광진구 아차산로33길 16-4 2층,4.0
서소문순두부보쌈,서울 광진구 동일로 128 재향군인회관 1층,3.5
풍년상회,서울 광진구 아차산로53길 53 1층,4.7
육회한연어 건대점,서울 광진구 동일로22길 42 1층,3.1
미가담,서울 광진구 자양로 165 1층,4.3
독도수산,서울 광진구 뚝섬로23길 48,3.9
일품대가삼계탕,서울 광진구 아차산로 358 1층,3.6
육미제당 구의역점,서울 광진구 아차산로 361 1층,4.2
원조숯불소금구이,서울 광진구 광나루로12길 19 1층,3.8
옛집,서울 광진구 아차산로76가길 18,3.0
대구 안지랑 곱창막창,서울 광진구 동일로24길 82 1층,3.7
나능이능이버섯백숙 아차산직영점,서울 광진구 천호대로 646 나이스빌딩 1층,3.6
오감만족,서울 광진구 자양로13길 26 1층,4.6
당산오돌 구의역점,"서울 광진구 자양로18길 12 1,2층",
은행나무집,서울 광진구 아차산로69길 20,4.4
능동곱창전문점,서울 광진구 능동로36길 15,3.8
춘천집명가,서울 광진구 아차산로33길 7 1층,
장원참숯민물장어,서울 광진구 면목로 30 1층,5.0
도포식당,서울 광진구 능동로 389 1층,
안흥갈비 중곡점,서울 광진구 능동로 373 2층,4.5
메밀의정석,서울 광진구 능동로4길 27 1층,3.9
미림장충왕족발보쌈 구의본점,서울 광진구 자양로18길 11 1층,3.8
건대 소몰이,서울 광진구 동일로22길 17 1층,4.1
망향비빔국수 광진점,서울 광진구 천호대로 694 1층,3.7
군자 장어시대,서울 광진구 천호대로 528 대원빌딩 1층 군자 장어시대,4.4
고기처럼 중곡점,서울 광진구 긴고랑로 57 1층,4.4
진한방삼계탕 군자점,서울 광진구 능동로 254 1층,3.9
불난닭발 구의본점,서울 광진구 자양로18길 6,4.0
삼일민물장어,서울 광진구 천호대로 685,3.0
재희네식당,서울 광진구 군자로 21 1층,4.7
군자닭갈비,서울 광진구 능동로 315 1층,3.7
진곱창,서울 광진구 아차산로 397 1층,4.3
피읖 제페니즈다이닝,서울 광진구 능동로 327-1 1층,4.2
맛나멸치국수,서울 광진구 긴고랑로 92 1층,4.5
광나루유황오리주물럭,서울 광진구 군자로 180,4.1
상주한우마굿간,서울 광진구 천호대로112길 23,3.9
삼백집 건대점,서울 광진구 아차산로 350 1층,4.0
청정활어회직판장,서울 광진구 긴고랑로 27 1층,4.8
할매복집,서울 광진구 아차산로76가길 13,3.3
대한해물,서울 광진구 아차산로51길 32 1층,3.3
경복궁 건대점,서울 광진구 능동로 90 더 클래식500 1층 B101-1호,3.9
가마로,서울 광진구 동일로22길 100 1층,3.0
능동국시,서울 광진구 능동로35길 23,3.2
김덕후의곱창조 건대점,"서울 광진구 아차산로33길 21-4 1,2층",
건대족발,서울 광진구 아차산로29길 52 1층,4.0
고돌이국밥,서울 광진구 동일로20길 115 1층,
용두삼겹살 쭈꾸미,서울 광진구 천호대로 647,3.0
바다생각,서울 광진구 군자로 38 1층,4.4
구의농원,"서울 광진구 아차산로 453-1 1,2층",
청국장보리밥소풍,서울 광진구 자양로45길 13 영덕주택 1층,4.1
조서방순대국 중곡본점,서울 광진구 긴고랑로 88 1층,4.2
제일곱창,서울 광진구 아차산로29길 57 1층,4.0
도단집,서울 광진구 능동로13길 54 1층,3.3
강릉엄지네꼬막집 구의역점,서울 광진구 아차산로 375 크레신타워3차 2층,3.9
한우짝갈비살,서울 광진구 자양로18길 73 1층,4.3
우렁쌈밥,서울 광진구 능동로38길 31 1층,3.4
정통집 건대점,서울 광진구 동일로24길 95 1층,2.7
자양동손칼국수,서울 광진구 뚝섬로 624 1층,4.4
어사랑횟집,서울 광진구 동일로 164 1층,3.4
장인닭갈비 건대점,서울 광진구 아차산로 241 1층 106호,4.2
한해,서울 광진구 광나루로 416 2층,4.0
진구정,서울 광진구 광나루로 536 1층,
미친생고기 군자역점,서울 광진구 능동로 317-1,3.2
또래끼리,서울 광진구 군자로 103 1층,3.6
굴이짱 본점,서울 광진구 긴고랑로 61 1층,3.1
최고집풍천장어,서울 광진구 아차산로51길 79 1층,4.1
원조남원추어탕숙회,서울 광진구 동일로 114,4.1
가마솥도가니탕 장수옥,서울 광진구 용마산로 124,2.2
사거리매운양푼등갈비찜 본점,서울 광진구 긴고랑로 30 1층,4.6
딸부자네 건대역점,서울 광진구 동일로22길 71,3.2
연지민물매운탕칼국수,서울 광진구 자양번영로 56 1층,4.4
열불날개 건대본점,서울 광진구 동일로24길 86-2 1층,4.2
참곱창,서울 광진구 면목로 182 중앙빌딩 1층,4.1
무교동낙지 구의점,서울 광진구 아차산로 464 1층,3.5
박과장의조은회사,서울 광진구 아차산로 345 래미안프리미어팰리스 102동 1층 125호,4.4
군자생고기,서울 광진구 천호대로107길 8 1층,3.6
짚신매운갈비찜 건대점,서울 광진구 아차산로33길 39,2.2
팔월잔칫날,서울 광진구 아차산로76길 5 1층,3.8
램니쿠야,서울 광진구 아차산로 395 1층 105호,4.7
중화호반닭갈비 아차산점,서울 광진구 천호대로129길 79 1층,3.1
문가네정육식당 군자역점,서울 광진구 면목로 53 1층,3.1
신사소곱창 건대점,서울 광진구 아차산로31길 39 1층,2.9
시원식당,서울 광진구 자양번영로12길 5-5,4.0
날일달월,서울 광진구 아차산로78길 7 유진스웰비 202호,4.3
자양감자탕,서울 광진구 아차산로 309 1층,3.1
강변나주곰탕,서울 광진구 구의강변로 90 1층,3.9
용문집,서울 광진구 뚝섬로30길 44 1층,3.5
평창 닭다리고추장불고기 자양본점,서울 광진구 뚝섬로 631 1층,4.9
순삼이네미나리삼겹살,서울 광진구 자양로43길 18 1층,4.3
김돈이 구의점,서울 광진구 아차산로 397 1층,4.5
명륜진사갈비 서울중곡점,서울 광진구 용마산로 110 토끼빌딩 1층,3.8
푸지미곱창,서울 광진구 아차산로51길 12 1층,4.4
장어굽는총각들 건대직영점,서울 광진구 아차산로29길 51 1층,4.5
돈스타,서울 광진구 능동로6길 8 1층,4.3
밀숲 건대점,서울 광진구 아차산로34길 5-5,3.5
용두동할매쭈꾸미,서울 광진구 군자로 179-1,2.8
고향산천 원조숯불닭갈비,서울 광진구 능동로19길 11,4.4
소금창고 건대점,서울 광진구 동일로24길 86,4.4
할머니손칼국수,서울 광진구 영화사로 8 1층,3.9
동서울손칼국수,서울 광진구 구의강변로 35 삼진빌딩 1층,4.1
명륜진사갈비 서울구의역점,서울 광진구 아차산로 380 1층,4.1
우물집 구의점,"서울 광진구 아차산로49길 21 1,2층",3.4
양숙이네,서울 광진구 자양번영로 74,4.1
백년회관서서갈비 아차산점,서울 광진구 천호대로 659 2층,3.7
임면옥,서울 광진구 능동로 338 1층,4.0
아차산통갈비탕 아차산점,서울 광진구 자양로 306,3.1
진육식당,서울 광진구 능동로 18 이튼타워3차상가 1층 126~127호,4.8
정면,서울 광진구 능동로13길 88 1층,4.6
육전국밥 군자역점,서울 광진구 능동로 294 1층,3.6
산골닭갈비,서울 광진구 강변역로4길 56,2.7
육감만족 아차산점,서울 광진구 천호대로129길 5,3.8
춘천골닭갈비,서울 광진구 군자로 70 나동 1층 105호,4.6
아빠찜 구의역점,"서울 광진구 자양로18길 96 베스트트레드빌 1층 101,102호",4.6
내가찜한닭 건대점,서울 광진구 아차산로33길 63,3.8
미식광진 본관,서울 광진구 광나루로 584 동서울빌딩 1층,3.8
전통춘천닭갈비,서울 광진구 능동로31길 21,3.5
우리소황소곱창 건대,서울 광진구 동일로22길 17 1층,4.5
아랜역물닭갈비 서울본점,서울 광진구 자양로43길 9 1층,4.4
대가숯불갈비,서울 광진구 자양번영로 71,3.9
환이네갈비살 2호점,서울 광진구 아차산로29길 47 1층,4.0
강쇠네,서울 광진구 뚝섬로 535,3.7
마장동 고기집,서울 광진구 용마산로 97,4.7
소해피 자양점,서울 광진구 자양번영로 31 1층,3.1
개미집,서울 광진구 광나루로24길 12 2층,3.2
새맛식당,서울 광진구 자양로18길 12-3 1층,4.8
수돈재감자탕 아차산점,서울 광진구 자양로45길 39 1층,3.8
무조건생고기삼겹살,서울 광진구 면목로 31-1 1층,4.8
한우정육소 건대점,서울 광진구 광나루로24길 9,3.9
화양리정육식당,서울 광진구 군자로 65 1층,4.6
본가한우생고기,서울 광진구 천호대로112길 19 1층,4.8
하동우렁추어탕 아차산점,서울 광진구 자양로 277 1층,3.8
우리황소곱창 마장동 우리축산직영점,서울 광진구 아차산로51길 23 1층,4.2
박대박 광진점,서울 광진구 자양로18길 66 1층,3.3
장원닭한마리 자양점,서울 광진구 뚝섬로52길 8 1층,4.5
유명한감자탕전문점,서울 광진구 아차산로 467 1층,4.0
한해,서울 광진구 광나루로 416 2층,4.0
진구정,서울 광진구 광나루로 536 1층,
미친생고기 군자역점,서울 광진구 능동로 317-1,3.2
또래끼리,서울 광진구 군자로 103 1층,3.6
굴이짱 본점,서울 광진구 긴고랑로 61 1층,3.1
최고집풍천장어,서울 광진구 아차산로51길 79 1층,4.1
원조남원추어탕숙회,서울 광진구 동일로 114,4.1
가마솥도가니탕 장수옥,서울 광진구 용마산로 124,2.2
사거리매운양푼등갈비찜 본점,서울 광진구 긴고랑로 30 1층,4.6
딸부자네 건대역점,서울 광진구 동일로22길 71,3.2
연지민물매운탕칼국수,서울 광진구 자양번영로 56 1층,4.4
열불날개 건대본점,서울 광진구 동일로24길 86-2 1층,4.2
참곱창,서울 광진구 면목로 182 중앙빌딩 1층,4.1
무교동낙지 구의점,서울 광진구 아차산로 464 1층,3.5
박과장의조은회사,서울 광진구 아차산로 345 래미안프리미어팰리스 102동 1층 125호,4.4
군자생고기,서울 광진구 천호대로107길 8 1층,3.6
짚신매운갈비찜 건대점,서울 광진구 아차산로33길 39,2.2
팔월잔칫날,서울 광진구 아차산로76길 5 1층,3.8
램니쿠야,서울 광진구 아차산로 395 1층 105호,4.7
중화호반닭갈비 아차산점,서울 광진구 천호대로129길 79 1층,3.1
문가네정육식당 군자역점,서울 광진구 면목로 53 1층,3.1
신사소곱창 건대점,서울 광진구 아차산로31길 39 1층,2.9
시원식당,서울 광진구 자양번영로12길 5-5,4.0
날일달월,서울 광진구 아차산로78길 7 유진스웰비 202호,4.3
자양감자탕,서울 광진구 아차산로 309 1층,3.1
강변나주곰탕,서울 광진구 구의강변로 90 1층,3.9
용문집,서울 광진구 뚝섬로30길 44 1층,3.5
평창 닭다리고추장불고기 자양본점,서울 광진구 뚝섬로 631 1층,4.9
순삼이네미나리삼겹살,서울 광진구 자양로43길 18 1층,4.3
김돈이 구의점,서울 광진구 아차산로 397 1층,4.5
명륜진사갈비 서울중곡점,서울 광진구 용마산로 110 토끼빌딩 1층,3.8
푸지미곱창,서울 광진구 아차산로51길 12 1층,4.4
장어굽는총각들 건대직영점,서울 광진구 아차산로29길 51 1층,4.5
돈스타,서울 광진구 능동로6길 8 1층,4.3
밀숲 건대점,서울 광진구 아차산로34길 5-5,3.5
용두동할매쭈꾸미,서울 광진구 군자로 179-1,2.8
고향산천 원조숯불닭갈비,서울 광진구 능동로19길 11,4.4
소금창고 건대점,서울 광진구 동일로24길 86,4.4
할머니손칼국수,서울 광진구 영화사로 8 1층,3.9
동서울손칼국수,서울 광진구 구의강변로 35 삼진빌딩 1층,4.1
명륜진사갈비 서울구의역점,서울 광진구 아차산로 380 1층,4.1
우물집 구의점,"서울 광진구 아차산로49길 21 1,2층",3.4
양숙이네,서울 광진구 자양번영로 74,4.1
백년회관서서갈비 아차산점,서울 광진구 천호대로 659 2층,3.7
임면옥,서울 광진구 능동로 338 1층,4.0
아차산통갈비탕 아차산점,서울 광진구 자양로 306,3.1
진육식당,서울 광진구 능동로 18 이튼타워3차상가 1층 126~127호,4.8
