상호,주소,별점,메뉴
트라타 건국대점,서울 광진구 아차산로 297 1층,4.3,"화이타(33,000원), 포크 부리또（Pork Burritos）(9,500원), 비프 타코(10,500원), 치킨엔칠라다Chicken Enchillada(13,000원), 포크 엔칠라다（Pork Enchillada）(13,000원), 트라타 부리또(12,500원), 비프 부리또 볼(11,500원), 비프 부리또（Beef Burritos）(11,000원), 쉬림프 타코(10,500원), 칠리치즈 나초(10,500원), BBQ 포크 부리또(10,000원), 치킨 부리또 볼（Chicken Burrito bowl）(10,000원), 포크 부리또 볼（Pork Burrito Bowl）(10,000원), 베지테리안 부리또 볼（Vegetarian Burrito bowl）(10,000원), 치킨 부리또（Chicken Burritos）(9,500원), 베지테리안 부리또(8,500원), 치킨 타코(9,000원), 포크 타코(9,000원), 베지테리안 타코(8,000원), 칠리치즈 프라이(9,500원), BBQ 까르니따스 프라이(9,000원), 프렌치 프라이（French Fries）(5,000원), 나초&살사（Nachos&Salsa）(6,000원), 고수／양파 Mix(700원), 할라피뇨(1,000원), 마일드살사(2,000원), 사워크림(2,000원), 과카몰레(3,500원), 핫소스(2,500원), 고수 小(1,000원)"
조용한주택,서울 광진구 동일로24길 24 1층 1호,3.9,"파리지앵 시금치 뇨끼(17,000원), 화이트라구 파스타(18,500원), 하우스 스테이크(100g)(17,000원), 초리조 페스토 파스타(18,500원), 머쉬룸 파스타(19,000원), 홍게 비스큐 파스타(19,500원), 부라타치즈 샐러드(14,000원)"
낙원스낵 건대점,서울 광진구 동일로22길 55 1층 낙원스낵,,"바질 페스토 (M)(16,000원), 포테이토 (M)(14,000원), 베이컨 체다 (M)(15,500원), 마약옥수수(4,000원), 프렌치 프라이(4,000원)"
오다 브네,서울 광진구 군자로 70 나동 1층 106호,,"가지튀김(14,000원), 가츠산도(목살)(16,000원), 세비체(20,000원), 삼치파스타(25,000원), 소꼬리트러플파스타(25,000원), 귀리버터&전설의바게트(5,000원), 홍합피클&냉이페스토(2P)(8,000원), 라비올리튀김(13,000원), 감자튀김(12,000원), 양배추&미소버터소스(18,000원), 마구로주도파스타(20,000원), 소꼬리라구파스타(23,000원), 흑돼지안심스테이크(30,000원), 오늘의생선요리(32,000원), 한우채끝1++스테이크(49,000원), 라즈베리소르베(5,000원), 로스카츠정식(등심)(13,000원), 히레까스정식(안심)(13,000원), 상로스카츠정식(특등심한정)(15,000원)"
미도인 건대,서울 광진구 아차산로33길 53,,"가정식 부챗살 스테이크(14,800원), 미도인 스테이크 덮밥(10,500원), 트리플 스테이크(15,800원), 대창 덮밥(12,500원), 400 스테이크 덮밥 (하루 7그릇 한정)(15,200원), 가정식 스테이크 구첩 반상(한정메뉴)(15,900원), 곱창 가정식 스테이크(한정메뉴)(18,700원), 곱창 대창 덮밥 (곱대)(13,900원), 미도인 가정식 스테이크(13,800원), 화산 불백 덮밥(9,300원), 대창 큐브 스테이크 덮밥(14,800원), 곱창 대창 큐브스테이크 덮밥 (한정메뉴)(16,800원), 청두 사천 탄탄멘(8,800원), 미도인 곱창 라멘 (한정메뉴)(12,800원), 미도인 우실장 떡볶이(9,500원), 미도인 곱창 떡볶이 (한정메뉴)(13,900원), 마리네이드 토마토 사라다(6,500원), 새우 로제 생면 파스타(13,800원), 명란 크림 파스타(12,800원), 바질크림 새우파스타(14,800원)"
알고,서울 광진구 광나루로17길 10 2층,,"매콤 크림 파스타(9,900원), 김치 베이컨 필라프(10,900원), 투움바 파스타(10,900원), 까르보나라(9,900원), 알리오 올리오(10,500원), 토마토 파스타(9,900원), 로제 파스타(9,900원), 찐짬뽕 해장 파스타(얼큰)(10,900원), 봉골레 파스타(10,900원), 베이컨 필라프(10,900원), 쉬림프 필라프(10,900원), 우삼겹 필라프(10,900원), 투움바 리조또(9,900원), 매콤 크림 리조또(9,900원), 로제 리조또(9,900원), 리코타 치즈 샐러드(7,000원), 감바스(16,000원), 부채살 찹스테이크(16,000원), 수제맥주(변동가격)"
37.5 광진점,서울 광진구 아차산로76가길 5 1층,,"알리오올리오 파스타(14,500원), 로제 비프 리조또(17,500원), 푸짐한 페페로니 피자(17,900원), 더블 치즈 까르보나라(15,900원), 얼큰한 빼쉐 파스타(17,500원), 명란 청양 크림 파스타(16,900원), 스파이시 라구 리가토니 파스타(16,500원), 명란 오일 파스타(16,900원), 버터새우 로제 파스타(17,900원), 풍기베이컨 크림 리조또(16,900원), 푸짐한 미국식 브런치(16,900원), 수제 통새우버거 세트(16,900원), 트러플머쉬룸 더블버거세트(15,900원), 프라임 채끝등심 스테이크(39,500원), 토마토 오믈렛 라이스(16,900원), 비프 김치볶음밥(14,900원), 아란치니떡볶이(13,900원), 수제 리코타 치즈 샐러드(16,500원), 치킨텐더 & 감자 튀김(9,900원), 호밀빵(2,500원), 아메리카노(4,500원), 카페라떼(5,000원), 카푸치노(5,000원), 바닐라라떼(5,500원), 카라멜마끼아또(5,500원), 카페모카(5,000원), 수제청 오렌지 에이드(6,000원), 수제청 자몽 에이드(6,000원), 수제청 레몬 에이드(6,000원), 생과일 블루베리 에이드(6,000원)"
듀블럭,서울 광진구 아차산로78길 157 1층,4.9,"비프웰링턴(49,800원)"
피자컴퍼니 군자점,서울 광진구 능동로32길 12 1층,4.1,"트리플 슈림프 스테이크피자(22,000원), 스테이크 러버 피자(19,000원), 갈릭슈림프(25,000원), 화가 난 제육 피자(19,000원), 화가 난 한판 불고기(19,000원), 치즈오븐(8,000원), 맥앤치즈(8,500원), 치킨텐더(8,000원), 버터갈릭프라이즈(8,500원), 올미트스파이시(23,000원), 스파이시치킨렌치(23,000원), 페퍼로니(21,000원), 올미트오리지널(23,000원), 치즈파이(20,000원), 스파이시치킨랜치(23,000원), 수제연탄불고기(24,900원), 고구마가득(22,000원), 하와이언(23,000원)"
타코벨 건대스타시티점,서울 광진구 아차산로 272 지하1층,2.8,"빅벨박스(18,500원), 브레드 타코 세트(11,000원), 소프트 오리지널 브레드 타코(6,700원), 수프림 타코(6,100원), 포테이토 브리또 세트(10,700원), 그릴 브리또(8,600원), 포테이토 브리또(8,600원), 트리플 치즈 퀘사디아(8,900원), 크런치랩(8,000원), 수프림 타코 보울(9,000원), 브레드 타코 세트(11,000원), 그릴 스테이크 타코 세트(15,000원), 소프트 클래식 타코(스테이크)(7,000원), 소프트 수프림 타코(스테이크)(7,500원), 그릴 스테이크 브리또 세트(14,000원), 그릴 스테이크 브리또(11,000원), 그릴 스테이크 파워보울 콤보(12,000원), 그릴 스테이크 파워보울(11,000원), NEW타코파티팩(28,000원), 브리또팩(18,500원), 하바네로 2인 세트(19,400원), 타코 세트(10,500원), 더블 치즈 데커 타코 세트(10,700원), 소프트 맵시칸 브레드 타코(6,700원), 더블 치즈 데커 타코(6,500원), 클래식 타코(5,600원), 스페셜세트(11,200원), 하바네로 브리또 세트(10,700원), 그릴 브리또 세트(10,600원), 하바네로 브리또(8,900원)"
