가게명,주메뉴,동,상세주소,평점,메뉴목록
심해참치 중곡점,참치회,중곡동,서울 광진구 긴고랑로 50 1층,0.0,
고래돈가스 덮밥,일식,중곡동,서울 광진구 능동로48길 20,0.0,"우나기동（민물장어덮밥）(16,000원), 돼지김치찜(26,000원), 참치김치찜(26,000원), 부대김치찜(26,000원), 백순대볶음(22,000원), 양념순대볶음(23,000원), 피카츄돈까스(2,500원), 계란찜(3,500원), 대접밥(1,500원), 펩시콜라 355mL(2,000원), 칠성사이다 355mL(2,000원), 펩시콜라제로 355mL(2,000원), 카스(4,000원), 테라(4,000원)"
김바삭군의볼카츠마켙 광진중곡점,일식,중곡동,서울 광진구 면목로 132,0.0,"치즈볼카츠(6,500원), 함박볼카츠(6,000원), 떡갈비볼카츠(6,000원), 볼카츠 4알 ＋ 떡볶이1인분 셋트(12,300원), 볼카츠4알＋매콤로제떡볶이1인분 셋트(13,300원), 미숫가루(3,500원), 수박쥬스시리즈(4,500원), 키위시리즈(3,500원), 바나나시리즈(3,500원), 망고시리즈(3,500원), 오렌지시리즈(4,000원), 사과시리즈(3,500원), 자몽시리즈(4,000원), 파인애플시리즈(3,500원), 아보카도시리즈(4,000원), 블루베리시리즈(3,500원), 찰토마토(3,500원), 메론(4,000원), 체리(4,000원), 홍시(4,000원), 생인삼 바나나(4,500원), 망고코코넛（코코넛젤리포함）(4,500원), 요거트(4,500원), 아메리카노(2,800원), 카페라떼 시리즈(3,300원), 라떼(3,800원), HOT.ICE초코(3,300원), 오레오초코라떼(5,300원), 리얼딸기라떼(4,800원), 홍차(2,500원)"
키라키라윤군자점,일식,중곡동,서울 광진구 능동로 320,0.0,
네코초밥,일식집,중곡동,서울 광진구 긴고랑로 50,0.0,
자루,일식,중곡동,서울 광진구 면목로 166,0.0,
독도횟포장전문,일식집,중곡동,서울 광진구 긴고랑로11길 11,0.0,"광어(소)(28,000원), 우럭(소)(39,000원), 놀래미(소)(38,000원), 도다리(소)(38,000원), 광어세꼬시(25,000원), 아나고세꼬시(30,000원), 도다리세꼬시(38,000원), 전복(20,000원), 낙지(20,000원), 돌멍게(20,000원), 꽃가리비(20,000원), 비단멍게(20,000원), 멍게(15,000원), 개불(15,000원), 소라찜(25,000원), 물회(소)(25,000원), 생우럭탕(소)(25,000원), 쥐치(변동가격)"
돈마니돈까스,"돈까스,우동",중곡동,서울 광진구 영화사로 9-6 1층,4.4,"등심돈까스(7,000원), 치즈까스(9,000원), 김치나베(8,000원), 돈까스나베(8,000원), 판모밀(6,000원)"
워터사시미물회전문점,일식,중곡동,서울 광진구 용마산로 112,0.0,"가리비 워터사시미 물회(19,900원), 광어 워터사시미 물회(19,900원), 연어 워터사시미 물회(19,900원), 오리지널 워터사시미 물회(16,000원), 쉬림프 워터사시미 물회(19,900원), 스팀랍스터 워터사시미 물회(48,000원), 광어（20g）(4,000원), 연어（20g）(4,000원), 소면（100g）(2,000원), 볶음밥（80g）(2,000원), 고로케（2p）(4,000원), 물회소스（200mL）(4,000원), 초밥(9,000원), 코카콜라 355mL(2,000원), 칠성사이다 355mL(2,000원)"
아이야숙성회가맛있는집,일식,중곡동,서울 광진구 천호대로129길 69,0.0,"숙성모듬회한접시(37,000원), 숙성광어회한접시(39,000원), 숙성연어회한접시(45,000원), 숙성1인사시미한접시(17,000원)"
다원키친,일식,중곡동,서울 광진구 면목로 114 1층,0.0,
신선화,일식집,중곡동,서울 광진구 답십리로78길 23,0.0,
비스타워커힐서울 모에기,일식,광장동,서울 광진구 워커힐로 177 1층,4.1,
스시텐 광나루,"초밥,롤",광장동,서울 광진구 천호대로 808 광장12차현대홈타운 1202동 1층 102호,3.2,"텐초밥(10pcs)(13,500원), 특초밥(12pcs)(18,800원), 연어초밥(10pcs)(20,000원), 나가사끼해물짬뽕(18,000원), 1인 사시미(19,800원), 스페셜 초밥(12pcs)(22,800원), 모듬사시미+튀김(47,000원), 스시텐 A정식(1인)(27,000원), 스시텐 B정식(1인)(37,000원), 특초밥+도쿠리(300ml)(26,800원), 사시미(15pcs)+도쿠리(300ml)(34,500원), 나가사끼우동+초밥(6pcs)(15,800원), 2인세트(41,800원), 광어초밥(10pcs)(21,000원), 광어,연어초밥(10pcs)(20,500원), 생선초밥(12pcs)(22,000원), 소고기초밥(5pcs)(14,000원), 새우치즈갈릭초밥(5pcs)(9,500원), 유부초밥(5pcs)(8,000원), 계란초밥(10pcs)(11,000원), 초새우초밥(10pcs)(14,000원)"
가츠시 광나루점,"돈까스,우동",광장동,서울 광진구 천호대로143길 27 1층,4.3,"돈까스김치나베(10,000원), 소바정식(11,500원), 안심돈까스(9,500원), 등심돈까스(9,000원), 생선까스(9,000원), 모듬까스(11,500원), 철판돈까스(10,000원), 판모밀(8,500원), 냉모밀(8,500원), 에비우동(8,500원)"
코마찌,일식집,광장동,서울 광진구 아차산로76길 19 3층,,"코마찌특정식(30,000원), 코마찌스페셜(40,000원), 코마찌스페셜정식(50,000원), 스페셜초밥(50,000원), 코마찌사시미(60,000원), 코마찌특사시마(80,000원), 코마찌참치사시미(150,000원)"
동경규동 광장점,일식,광장동,서울 광진구 아차산로 537-17 상가동 1층 22호,3.8,"[만족도 1위] 김치가츠나베정식 SET(13,700원), [NEW] 규동정식 SET(14,300원), [한국인의 맛] 불판김치볶음규동＋온센타마고(9,900원), [3일 숙성] 수제등심 가츠동(9,500원), [숙성수제등심] 돈가츠 정식SET(13,500원), [촉촉 부드러운] 규동(8,900원), [직화] 야끼규동(9,100원), [불맛 매콤] 매운야끼규동(9,500원), [NEW!!] 돼지갈비동(8,100원), [숙성 냉장 한돈] 수제등심 가츠카레(9,900원), [NEW!] 치즈김치가츠나베정식 SET(14,700원), 스키야끼나베 정식(13,800원), 냉모밀 돈가츠 SET(15,200원), [모짜렐라 100%] 치즈매운야끼규동(10,100원), [오꼬노미야끼 맛을 느끼고 싶다며] 오꼬노미 규타마동(9,800원), [NEW!!!] 김치두루치기동(8,600원), [김치와 돈까스의 만남] 수제등심 김치가츠동(9,900원), [100%치즈와 돈까스의 만남] 수제등심 치즈가츠동(10,100원), [추천메뉴] 치즈김치가츠동(10,900원), [촉촉한 단짠] 다리살 치킨가라아게동(9,500원), [단짠단짠] 다리살 치킨마요동(9,500원), [점보사이즈 새우 3마리] 타마고에비텐동(10,800원), [정통 일본] 가쓰오동경우동(7,700원), [유부가 무려 8개] 유부듬뿍 김치우동(8,200원), [뜨끈 달달] 에비텐가쓰오우동(9,100원), [야끼 소고기 듬뿍] 니꾸우동（소고기 우동）(9,400원), [수제다데기] 얼큰니꾸우동(9,800원), [탱탱한 새우 1마리] 에비텐카레우동(9,900원), [순 닭다리살] 다리살 치킨카레(9,600원), [촉촉바삭] 에비텐 카레(10,000원)"
뜨돈 광장점,"돈까스,우동",광장동,서울 광진구 천호대로143길 21 1층,3.0,
가츠몽 광장점,"돈까스,우동",광장동,서울 광진구 아차산로 537-17,2.6,"로스가츠(11,000원), 치즈가츠(12,000원), 고구마치즈(12,000원), 알밥세트（알밥＋돈까스＋우동）(12,500원), 돈가츠카레(11,500원), 사누끼우동 정식(10,500원), 옛날돈가츠(11,500원), 히레가츠(12,000원), 통치즈롤가츠(14,000원), 냉모밀(10,500원), 김치알밥(10,500원), 레이디세트（샐러드까스＋알밥＋우동）(13,000원), 모듬가츠(13,000원), 모듬가츠정식(14,500원), 매운돈가츠(12,000원), 생선가츠(11,500원), 매콤철판가츠,(12,000원), 통치즈롤가츠,(14,000원), 통치즈롤가츠 정식(15,500원), 매콤철판가츠(12,000원), 매콤철판가츠 정식(13,500원), 비빔모밀(10,500원), 사누끼우동(8,000원), 새우튀김우동(10,500원), 치즈오븐스파게티(11,500원), 철판함바그스테끼(12,500원), 김치가츠나베(11,500원), 회덮밥(11,500원), 돈가츠돈부리정식(11,500원), 가라아게돈부리정식(12,000원)"
잇사이,일식,광장동,서울 광진구 아차산로 608 1층,2.0,
마코토스시,"초밥,롤",광장동,서울 광진구 광나루로 607 1층,0.0,
스시천 광나루점,"초밥,롤",광장동,서울 광진구 천호대로 808 광장12차현대홈타운 102호,0.0,"배민A초밥(15,000원), 배민B초밥(19,500원), 배민C초밥(19,000원), VIP초밥(23,500원), 모둠초밥(13,500원), 미니 사시미(22,000원), 불초밥세트(17,000원), 광어초밥10p(22,000원), 생선초밥12p(23,000원), 연어초밥10p(21,000원), 광어앤연어초밥10p(21,500원), 소고기초밥5p(14,000원), 소고기초밥10p(27,000원), 새우치즈갈릭5p(9,500원), 유부10p(9,000원), 계란초밥10p(11,000원), 초새우초밥10p(14,000원), 처음처럼(5,000원), 참이슬 후레쉬(5,000원), 청하(6,000원), 참이슬 오리지널(5,000원), 새로(5,000원), 테라(5,000원)"
스시텐 강변점,"초밥,롤",구의동,서울 광진구 구의강변로 86,4.2,"텐초밥(10pcs)(13,500원), 특초밥(12pcs)(18,800원), 스폐셜초밥(12pcs)(22,800원), 생선초밥(12pcs)(23,000원), 도로초밥(10pcs)(38,000원), 2인세트(43,800원), 3인세트(74,800원), 온가족세트(115,800원), A정식(1인)(27,000원), B정식(1인)(37,000원), 나가사끼우동+초밥(6pcs)(15,800원), 연어초밥(10pcs)(21,000원), 광어초밥(10pcs)(22,000원), 광어,연어초밥(10pcs)(21,500원), 소고기초밥(5pcs)(14,000원), 간장새우초밥(5pcs)(12,500원), 새우치즈갈릭 초밥(5pcs)(9,500원), 유부초밥(5pcs)(8,000원), 계란초밥(10pcs)(11,000원), 초새우초밥(10pcs)(14,000원)"
와꼬,일식,구의동,서울 광진구 구의강변로 90 2층,3.0,"와꼬초밥(18,000원), 광어초밥(21,000원), 연어초밥(21,000원), 와꼬스페셜초밥(26,000원), 광어＋연어초밥(21,000원), 활어 회덮밥(20,000원), 와꼬 스페셜모둠회（（시그니쳐메뉴））(45,000원), 참돔＋광어회(45,000원), 참돔회(50,000원), 광어회(40,000원), 연어회(40,000원), 광어＋연어회(40,000원), 혼술세트(23,000원), 커플세트(35,000원), 광어물회세트(38,000원), 모듬물회세트(38,000원), 활어회덮밥(20,000원), 콜라(2,000원), 스프라이트(2,000원)"
쉐프의콜렉션,일식,구의동,서울 광진구 자양로18길 72 1층,4.2,"고등어회(24,000원), 아보카도 생참치 후토마끼 (8pcs)(38,000원), 우니파스타(33,000원), 가라아게(19,000원), 숙성회 1인(24,000원)"
장가,"돈까스,우동",구의동,서울 광진구 구의강변로3길 11 지하1층,4.1,"장가모듬(16,000원), 코돈부루(16,000원), 버섯소고기샤브샤브(15,000원), 히레까스(12,000원), 김치나베정식(14,500원), 판모밀정식(14,500원), 냉모밀정식(14,500원), 온모밀정식(15,000원), 짬뽕나베정식(14,500원), 돈까스덮밥(11,000원)"
연스시,일식집,구의동,서울 광진구 아차산로 438,3.7,"사시미 (점심특선)(55,000원), 특초밥 (점심특선)(25,000원), 생대구탕/지리/탕 (점심특선)(18,000원), 복탕 (계절메뉴)(점심특선)(변동가격), 전복죽 (점심특선)(15,000원), 회덮밥 (점심특선)(15,000원), 특정식(1인) (저녁메뉴)(40,000원), 사시미 (저녁메뉴)(55,000원), 주방장특선(오마카세)(1인) (저녁메뉴)(90,000원)"
아울 구의점,"돈까스,우동",구의동,서울 광진구 자양로18길 36,4.1,"로스까스(9,500원), 치킨까스(9,500원), 생선까스(9,500원), 김치볶음밥(7,000원), 새우튀김 우동(6,000원), 가쯔오 우동(6,000원), 꼬치오뎅우동(6,000원), 냉모밀(7,000원), 로스까스(반개)(7,000원)"
산쪼메 구의점,일본식라면,구의동,서울 광진구 아차산로51길 10 1층,4.3,"돈코츠라멘(9,000원), 산쪼메라멘(9,500원), 시오버터라멘(9,000원), 쇼유라멘(9,000원), 츠케멘(9,000원)"
스시오리,"초밥,롤",구의동,서울 광진구 천호대로132길 56 1층,4.7,"광어초밥(1ps)(2,400원), 광어지느러미초밥(1ps)(2,800원), 도미초밥(1ps)(2,800원), 도미뱃살초밥(1ps)(3,300원), 연어초밥(1ps)(2,500원), 연어뱃살초밥(1ps)(3,000원), 연어아부리초밥(1ps)(2,600원), 참다랑어속살(아까미)초밥(1ps)(3,500원), 참다랑어중뱃살(주도로)초밥(1ps)(4,500원), 참다랑어대뱃살(오도로)초밥(1ps)(6,500원), 유부초밥(1ps)(1,500원), 한치초밥(1ps)(2,200원), 간장새우초밥(1ps)(2,800원), 찐새우(초새우)초밥(1ps)(2,000원), 단새우초밥(1ps)(4,000원), 민물장어(우나기)초밥(1ps)(3,200원), 바다장어(아나고)초밥(1ps)(3,200원), 성게알(우니)초밥(1ps)(7,000원), 아귀간(안키모)초밥(1ps)(3,500원), 계란초밥(1ps)(1,500원), 소고기초밥(1ps)(3,200원), 날치알마끼초밥(1ps)(2,500원), 고등어(시메사바)초밥(1ps) (계절메뉴)(3,300원), 전갱이초밥(1ps) (계절메뉴)(3,000원), 잿방어초밥(1ps) (계절메뉴)(3,800원), 잿방어뱃살초밥(1ps) (계절메뉴)(4,200원), 전어초밥(1ps) (계절메뉴)(3,000원), 방어초밥(1ps) (계절메뉴)(3,500원), 방어뱃살초밥(1ps) (계절메뉴)(4,000원), 지라시덮밥(20,000원), 카이센동(20,000원), 마구로동(참치덮밥)(2,900원), 사케동(연어덮밥)(22,000원), 오늘의사시미(1인)(27,000원)"
키움 참치 구의점,참치회,구의동,서울 광진구 자양로18길 17 1층,3.8,"참치 특 초밥(20,000원), 참치 초밥(15,000원), 참치회 기본 (1인분)(28,000원), 참치회 비지니스 (1인분)(33,000원), 특 스페셜 (1인분)(42,000원), 키움 스페셜 (1인분)(55,000원), 로얄 스페셜 (1인분)(75,000원), 소주(5,000원), 맥주(5,000원), 한맥 2병 (행사중)(8,000원)"
애플돈까스 구의본점,"돈까스,우동",구의동,서울 광진구 자양로 249,3.4,"돈까스(9,000원), 생선까스(10,000원), 함박스테이크(10,000원), 정식(13,000원), 부대찌개(18,000원), 만두국(9,000원), 칡냉면 (물/비빔)(9,000원)"
키엔오,일식,구의동,서울 광진구 아차산로55길 26,4.3,"사시미 5종(25,000원), 청어사시미(17,000원), 한우스지된장조림(23,000원), 아스파라거스 삼겹살구이(9,000원), 닭다리살 소금구이(16,000원)"
참치나라,참치회,구의동,서울 광진구 아차산로 431,2.9,
서울초밥,"초밥,롤",구의동,서울 광진구 자양로18길 39 1층,,"2인 초밥세트(38,000원), 2인 회+초밥세트(50,000원), 서울 런치초밥(10pcs, 미니우동+튀김)(11,000원), 서울 모듬초밥(12pcs, 미니우동+튀김)(16,000원), 서울 특초밥(12pcs, 미니우동+튀김)(24,000원), 모듬회(32pcs, 광어+연어+참치뱃살)(80,000원)"
온동,일식,구의동,서울 광진구 구의강변로 87 1층 101호,4.0,"스페셜텐동(15,000원), 김치가츠나베정식(15,000원), 온텐동(10,000원), 아나고텐동(13,000원), 스테끼동(15,000원), 가츠동(10,000원), 레몬하이볼(7,000원), 복분자하이볼(7,000원), 생맥주(테라)(5,000원), 기린(병)(5,000원), 규동(12,000원), 돈카츠 정식(16,000원), 스키야끼 정식(15,000원)"
한토리,일식,구의동,서울 광진구 자양로18길 77 면옥빌딩 1층,4.2,"모듬 6종 꼬치구이(19,000원), 한우 육회 들기름소바(16,000원), 명란 구이(12,000원), 스지 나베(32,000원), 한토리 육사시미(타코와사비)(28,000원)"
가야스시,"초밥,롤",구의동,서울 광진구 자양로41길 7 1층,4.7,"모듬초밥(14,000원), 생선초밥(19,000원), 가야특선초밥(28,000원), 광어초밥(20,000원), 연어초밥(21,000원), 광어반연어반(20,000원), 연어회덮밥(15,000원), 광어회덮밥(15,000원), 모듬사시미(38,000원), 1인 사시미(25,000원), 물회(20,000원), 타코와사비(10,000원), 참다랑어뱃살(5,000원), 광어지느러미(5,000원), 연어뱃살(5,000원), 부산 오뎅탕(17,000원), 콜라(2,000원), 스프라이트(2,000원)"
도톰카츠 광진점,"돈까스,우동",구의동,서울 광진구 자양로 265 1층,3.8,"등심(12,000원), 안심(13,000원), 가브리등심(14,000원), 치즈카츠(13,000원), 1인 모둠카츠(16,000원)"
서경,일식,구의동,서울 광진구 광나루로54길 6,3.0,"생선초밥(1인분)(20,000원), 모듬생선회A(1인분)(90,000원), 모듬생선회B(1인분)(70,000원), 참치회(1인분)(50,000원), 새우튀김(중)(20,000원)"
혼다라멘,일본식라면,구의동,서울 광진구 자양로18길 32,2.5,"[가성비甲(갑)] 나혼자라멘 set(14,500원), 마제소바라멘세트(11,900원), 탄탄멘(11,900원), [가성비甲(갑)] 나혼자메밀 set혼다람(14,500원), 혼다라멘 세트(10,900원), 매운혼다라멘세트(11,900원), 혼다냉메밀세트(10,900원), 숯불고기라멘세트(11,900원), 불곱창라멘(11,900원), 토마토라멘(11,900원), 와규 타다키 돈부리(12,900원), 돈가츠 커리 덮밥(11,900원), 치킨 가라아게 커리 덮밥(11,900원), 혼다 가츠동(11,900원), 불고기 돈부리(11,900원), 타다키 샐러드(10,900원), 간장계란밥(4,000원), 치즈돈가츠(5,000원), 돈카츠(4,500원), 새우튀김(3P)(4,000원), 치킨가라아게(4P)(4,000원), 교자(6P)(3,000원), 계란초밥(3P)(3,000원), 타코야키(4P)(3,000원), 새우까스(3,500원), 차슈추가(2장)(2,500원), 불고기추가(50g)(2,500원), 계란추가(1알)(1,500원), 면추가(1,500원), 공기밥 추가(1,000원)"
제일돈카츠,"돈까스,우동",구의동,서울 광진구 자양로18길 26 2층,4.5,"로스카츠(13,000원), 로스우동정식(15,500원), 로스모밀정식(17,500원), 치즈카츠(14,000원), 모둠카츠(16,000원), 특로스카츠(14,000원), 히레카츠(14,000원), 히레우동정식(16,500원), 히레모밀정식(18,500원), 제일돈가스(11,000원), 제일우동정식(13,500원), 제일모밀정식(15,500원), 천하제일돈가스(12,500원), 천하제일우동정식(15,000원), 천하제일모밀정식(17,000원)"
연참치 구의점,참치회,구의동,서울 광진구 아차산로 431 1층,4.7,
토모멘야,일본식라면,구의동,서울 광진구 아차산로 431 강변SK뷰 상가 3동 지하층 B103호,,"매운 돈코츠라멘(11,000원), 탄탄멘(11,000원), 돈코츠라멘(10,000원), 가츠동(11,000원), 믹스에비동(12,000원), 사케동(8p)(16,000원), 사케동(12p)(22,000원), 카레 가츠동(13,000원), 카레믹스에비동(14,000원), 오코노미야끼(18,000원), 우삼겹 덮밥(10,900원), 마제소바(10,900원), 숙성 연어사시미(15p)(27,000원), 숙성 연어사시미(25p)(45,000원), 수제돈가츠(70g)(4,500원), 멘보샤(2p)(4,000원), 새우튀김(2p)(5,000원)"
심당 구의점,일식,구의동,서울 광진구 아차산로51길 69 1층,4.3,"해물짬뽕탕(13,500원), 해물떡볶이(13,900원), 유린기(11,900원), 해물라면(7,900원), 단새우니(40,000원), 가리비회(중)(28,000원), 가리비회(대)(36,000원), 수제가라아게(12,500원), 크림새우(13,900원), 어향가지튀김(13,900원), 한우투쁠육회(18,000원), 바지락술찜(13,900원), 청양크림파스타(14,500원), 모찌리도후(8,900원), 단새우 플래터(36,000원), 깐풍새우(13,900원), 깐풍기(14,900원), 수육삼겹보쌈(19,000원), 김치오뎅전골(12,900원), 누룽지 나가사끼탕(13,500원)"
유미카츠 구의광장점,"돈까스,우동",구의동,서울 광진구 아차산로 463 신선빌딩 1층,3.0,"[돈가스] 유미 카츠(11,500원), [모짜렐라] 치즈 카츠(13,900원), 떡볶 카츠(13,600원), 카츠 카레(12,900원), 유미 돈쫄(13,600원), 모둠 카츠(15,900원), 안심카츠(14,500원), 유미소바(9,600원), 유미 쫄면(8,900원), 유미카츠정식 A(13,500원), [통통 새우 3마리]새우 카레 카츠(12,900원), [순살치킨]치킨 카레 카츠(12,900원), 유미우동(9,600원), 로제 파스타 카츠(14,600원), 유미카츠정식 B(13,500원), 카레카츠정식 A(14,500원), 카츠카레정식 B(14,500원), 유미 떡볶이(7,600원), 미니 우동(4,000원), 미니 소바(4,000원), 카레 추가(3,900원), 치즈카츠2p 추가(6,000원), 새우 튀김2p(4,500원), 치킨 가라아게5p(5,000원), 밥 추가(1,000원), 양배추추가(1,000원), 돈가스소스(500원), 코카콜라 355mL(2,000원), 코카콜라제로 355mL(2,000원), 스프라이트 355mL(2,000원)"
스시이치로,"초밥,롤",구의동,서울 광진구 자양로28길 18 1층,4.7,"모듬회(1인)(26,000원), 오마카세 스시(45,000원), 모듬초밥 B(29,000원), 모듬초밥 C(22,000원), 오마카세스시+사시미(53,000원), 등푸른생선3종 사시미(29,000원), 카이센동(25,000원)"
가현스시,"초밥,롤",구의동,서울 광진구 광나루로36길 21 1층,4.5,"모듬초밥（6pc）(12,000원), 새우튀김 （10pc）(18,000원), 콜라 355mL(2,000원), 사이다 355mL(2,000원)"
마미가,"돈까스,우동",구의동,서울 광진구 아차산로51길 101 1층,4.4,"돈가스(8,000원), 칼국수(6,000원)"
역전우동0410 강변역점,"돈까스,우동",구의동,서울 광진구 강변역로4길 10 지너스타워 1층 107호,4.9,
일식우미,일식,구의동,서울 광진구 아차산로 431 강변SK뷰 1층 2-101호,5.0,"생선초밥(20,000원), 연어초밥(20,000원), 광어초밥(30,000원), 오마카세초밥(50,000원), 도미머리탕 (점심특선)(20,000원), 생대구머리탕 (점심특선)(20,000원), 생대구탕 (점심특선)(18,000원), 물메기탕 (점심특선)(15,000원), 회덮밥 (점심특선)(15,000원), 민물장어구이정식(4PCS) (점심특선)(20,000원), 새우튀김정식(6PCS) (점심특선)(15,000원), 생선구이정식 (점심특선)(20,000원), 알밥 (점심특선)(15,000원), 전복죽 (점심특선)(20,000원), 물회 (여름점심특선)(20,000원), 모밀정식 (여름점심특선)(15,000원), 돌우동 (겨울점심특선)(15,000원), 돈가스정식 (겨울점심특선)(15,000원), 민물장어요리(1마리)(35,000원), 새우튀김요리(30,000원), 도미머리구이(30,000원)"
미아리우동집 아차산점,"돈까스,우동",구의동,서울 광진구 천호대로 677 1층 102호,4.5,"우동(6,000원), 얼큰우동(7,000원), 어묵우동(7,500원), 쫄면(7,000원), 잔치국수(7,000원), 비빔국수(7,000원), 열무국수(7,500원), 비빔밥(7,000원), 콩국수(8,000원), 김밥(3,500원), 매운소고기김밥(4,500원), 참치김밥(4,500원), 새우만두(4,500원), 갈비만두(4,500원)"
야키토리스키,일식,구의동,서울 광진구 자양로22길 44 오성하우스 1층 3호,4.8,"염통(3,500원), 모래집(3,500원), 다리살대파(3,500원), 종아리(3,500원), 날개(3,500원), 어깨(3,500원), 목살(4,000원), 꼬리(4,000원), 근막(4,000원), 윗날개(3,500원), 다리안쪽(3,500원), 가슴(3,500원), 안심(3,500원), 고관절(4,000원), 연골(4,000원), 껍질(3,500원)"
경양식당 본점,"돈까스,우동",구의동,서울 광진구 아차산로55길 26 1층,4.6,"함박스테이크(12,000원), 돈카츠(11,000원), 로제돈카츠(12,000원), 오므라이스(10,000원), 토마토 미트 파스타(11,000원), 감자고로케(3,000원), 돈가스2피스(6,000원), 콜라 355mL(2,000원), 사이다 355mL(2,000원)"
건대우동집 구의점,"돈까스,우동",구의동,서울 광진구 자양로 116 1층,3.3,"우동(6,500원), 잔치국수(7,500원), 쫄면(8,000원), 비빔밥(8,000원), 얼큰어묵우동(8,500원), 비빔국수(8,000원), 야채김밥(3,800원), 소고기마요김밥(4,800원), 매콤소고기마요김밥(5,000원), 참치김밥(4,800원), 핫도그소세지마요김밥(5,500원), 수제돈까스(9,500원), 얼큰우동(7,500원), 야끼만두 6개(3,500원), 열무국수(8,000원)"
묵당,일식,구의동,서울 광진구 자양로28길 10,5.0,"포크카레정식(9,500원)"
길동우동 강변점,"돈까스,우동",구의동,서울 광진구 광나루로56길 85 9층 38호,3.7,"길동우동(6,500원), 얼큰우동(7,500원), 튀김우동(8,000원), 냉우동(8,000원), 꼬치어묵우동(8,000원), 김치어묵우동(8,500원), 해물만두우동(12,500원), 궁중잔치온면(7,500원), 매콤비빔면(8,000원), 쫄면(8,000원), 냉 열무면(8,500원), 흑미메밀소바(8,500원), 콩우동(계절)(9,000원), 비빔밥(8,000원), 열무비빔밥(8,000원), 제육비빔밥(9,000원), 옛날육개장(9,000원), 쫄면+미니돈까스(11,000원), 흑미메밀소바+미니돈까스(11,500원), 길동김밥(4,000원), 치즈김밥(4,500원), 참치김밥(5,000원), 꼬치어묵탕(6,000원), 국물떡볶이(5,000원), 삶은계란(떡볶이토핑)(600원), 눈꽃치즈(떡볶이토핑)(1,500원), 모둠튀김(6,000원), 야채튀김(1,500원), 꼬마만두튀김(5개)(1,500원), 대왕김말이(1,800원), 오징어튀김(1,800원), 새우튀김(1,700원)"
만초밥,"초밥,롤",구의동,서울 광진구 자양로43길 28,3.8,"장어덮밥(25,000원), 오늘의 초밥 10p(12,000원), 모듬초밥 10p(15,000원), 커플세트 2인 20p(38,000원), 특초밥 10p(17,000원), 스페셜 만초밥 12p(20,000원), 셰프초밥 14p(28,000원), 연어한판 10p(20,000원), 광어+연어(22,000원), 광어+연어+찐새우(25,000원), 구운초밥세트(22,000원)"
코바코 강변역점,"돈까스,우동",구의동,서울 광진구 강변역로4길 10 지너스타워 103호,2.0,
가츠시 구의점,"돈까스,우동",구의동,서울 광진구 자양로 173 1층,5.0,"등심돈까스(10,000원), 안심돈까스(11,000원), 생선까스(10,000원), 모들돈까스(12,500원), 돈까스김치나베(11,500원), 뚝배기우동정식(12,500원), 에비우동(8,500원), 소바정식(12,500원), 냉모밀(9,000원), 판모밀(8,500원), 공기밥(1,000원), 음료(2,000원), 소주(4,000원), 맥주(5,000원)"
갓츠킹 광진구청점,"돈까스,우동",구의동,서울 광진구 자양로 112 1층 107호,3.0,"더블등심가츠도시락(10,900원), 등심통치즈롤도시락(1,390원), 더블마그마가츠도시락(11,900원), 스노우치킨가츠도시락(10,900원), 씨푸드가든도시락(13,900원), 등심가츠(3,000원), 통다리살치킨가츠(3,000원), 통치즈롤가츠(5,500원), 생선가츠(4,500원), 안심가츠(3,500원), 고구마롤가츠(5,500원), 코돈부르(5,500원), 새우가츠(3,500원), 함박가츠(5,000원), 왕돈까스(6,500원)"
미소야 구의쉐르빌점,"돈까스,우동",구의동,서울 광진구 구의강변로 106 삼성쉐르빌 101동 지하 102호,4.8,
그랩 건대점,"초밥,롤",구의동,서울 광진구 자양로28길 12 1층,3.0,"매콤육회 유부초밥(3,200원), 생연어 유부초밥(3,200원), 시메사바 유부초밥(3,500원), 명란아보카도 유부초밥(2,900원), 데리야끼 치킨 유부초밥(2,900원), 백김치참치마요 유부초밥(2,900원), 날치마요 유부초밥(2,900원), 달콤우삼겹 유부초밥(2,900원), 타코와사비 유부초밥(2,900원), 노토핑 유부초밥(1,800원), 부산오뎅우동(8,000원), 얼큰부산오뎅우동(8,500원), 불닭마요우동(8,000원), 우삼겹야끼우동(8,000원), 매콤크림우동(8,500원), 국물떡볶이(8,000원), 로제떡볶이(9,000원), 슬러시 냉모밀(7,000원), 육우동(8,000원), 얼큰 육우동(8,500원)"
돈몽,"돈까스,우동",구의동,서울 광진구 구의로4길 10,0.0,
상상돈까스,"돈까스,우동",구의동,서울 광진구 광나루로56길 85 9층 40호,2.8,"로스 돈카츠(14,500원), 히레 돈카츠(15,500원), 씨푸드 카츠(15,500원), 치즈 돈카츠(16,000원), 상상돈가츠(11,000원)"
