상호,주소,별점,메뉴
헤라모텔,서울 광진구 동일로 335,0.0,"룸타입 특실 (50,000원~), 룸타입 일반실 (50,000원~)"
휘모텔,서울 광진구 능동로 323,1.0,"룸타입 일반실 (55,000원~), 룸타입 일반실(욕조) (55,000원~), 룸타입 일반실(PC) (55,000원~)"
Q모텔,서울 광진구 동일로 168,2.3,"룸타입 일반(넷플릭스 무료 시청가능) (45,000원~), 룸타입 특실(넷플릭스 무료 시청가능) (45,000원~)"
유토피아모텔,서울 광진구 자양로 226,1.0,
프롬에이치쏘타스테이 건대점,서울 광진구 동일로 212,1.0,
펜타즈호텔,서울 광진구 능동로 90,5.0,
프린스모텔,서울 광진구 광나루로12길 12,0.0,"룸타입 일반실 (45,000원~)"
영빈장,서울 광진구 용마산로1길 11,0.0,
루나게스트하우스,서울 광진구 동일로 170-10 2층,3.8,"룸타입 일반실(객실 타입 랜덤 배정) (40,000원~), 룸타입 2인실(이층침대)(객실 타입 랜덤 배정) (44,000원~)"
플라워모텔,서울 광진구 광나루로14길 20,3.0,
모텔프리마,서울 광진구 동일로30길 42,1.0,
이화장여관,서울 광진구 용마산로 17-1,1.0,
포레스트파크,서울 광진구 워커힐로 177,0.0,
은성모텔,"서울 광진구 자양번영로 31 2,3층",1.0,"룸타입 특실 (40,000원~)"
그랜드워커힐 포레스트파크,서울 광진구 워커힐로 177,0.0,
리버사이드게스트하우스,서울 광진구 뚝섬로 702-4,5.0,
은하모텔,서울 광진구 능동로19길 53,0.0,"룸타입 일반실 (45,000원~), 룸타입 트윈룸 (60,000원~)"
스테이엘,서울 광진구 아차산로 411-1,0.0,
동서여관,서울 광진구 면목로 109-1,0.0,
헤나모텔,서울 광진구 용마산로 19,0.0,
스테이42,서울 광진구 광장로 89 2층,5.0,
브릭핸즈 건대점,서울 광진구 능동로16길 50-7,0.0,
유토피아,서울 광진구 자양로 266,0.0,
M모텔,서울 광진구 광나루로14길 18,0.0,
투모텔,서울 광진구 능동로35길 37,5.0,
AB게스트하우스,서울 광진구 천호대로 798-12,0.0,
호스텔온기,서울 광진구 광나루로 354 2층,5.0,
그랜드워커힐서울 펄빌라,서울 광진구 워커힐로 177,0.0,
영동모텔,"서울 광진구 동일로 36 2,3층",0.0,"룸타입 일반실 (50,000원~)"
엠칼라스,서울 광진구 천호대로 679,2.5,
Q모텔,서울 광진구 천호대로 546,1.0,
타이거하우스,서울 광진구 광나루로19길 57,5.0,
구의역고시원심플원룸텔,서울 광진구 아차산로 387,0.0,
호텔리오,서울 광진구 동일로 34,0.0,
화후당,서울 광진구 긴고랑로9길 51-4 2층,0.0,
휴스테이,서울 광진구 동일로22길 25,5.0,
레지던스수,서울 광진구 광나루로 364,0.0,
목화장 여관,서울 광진구 능동로 325,0.0,
정모텔,서울 광진구 면목로 204,1.0,
랑데뷰모텔,서울 광진구 면목로 198,0.0,
부림장여관,서울 광진구 긴고랑로7길 7,0.0,
더글라스클럽,서울 광진구 워커힐로 177,2.0,
호림장여관,서울 광진구 능동로17길 55,0.0,
스타킹모텔,서울 광진구 동일로30길 15,0.0,
서울장여관,서울 광진구 긴고랑로 90,0.0,
로즈파크,서울 광진구 아차산로78가길 42-1,0.0,
그루레지던스,서울 광진구 아차산로 352,0.0,
황금장여관,서울 광진구 광나루로 517-5,0.0,
위드모텔,서울 광진구 동일로 296,0.0,
신선장여관,서울 광진구 동일로 172-9,0.0,
리버모텔,서울 광진구 능동로35길 37,0.0,
대림장여관,서울 광진구 광나루로12길 16,0.0,
뉴서울장여관,서울 광진구 능동로19길 7-1,0.0,
이삭고시원,서울 광진구 능동로19길 36,0.0,
귀빈장모텔,서울 광진구 용마산로 17,0.0,
영화여관,서울 광진구 동일로4길 2,0.0,
영동장,서울 광진구 동일로 36,0.0,
주식회사 인장매니지먼트,서울 광진구 아차산로 401-14,0.0,
마이하우스,서울 광진구 아차산로22길 38 202호,0.0,
동명여관,서울 광진구 능동로51길 44-7,0.0,
뉴스타모텔,서울 광진구 동일로 168,0.0,
사파이어빌라,서울 광진구 워커힐로 177,0.0,
황금장,서울 광진구 동일로 296,0.0,
애플,서울 광진구 능동로35길 41,0.0,
대성장여관,서울 광진구 동일로 148,0.0,
황금모텔,서울 광진구 광나루로 517-5,0.0,
아늑스페이스,서울 광진구 자양로44나길 17,0.0,
스테이소담,서울 광진구 능동로4길 73,0.0,
힐스하우스,서울 광진구 능동로 145,0.0,
수림장여관,서울 광진구 동일로30길 42,0.0,
자양토박이네,서울 광진구 자양번영로7길 16-7,0.0,
어웨이스파,서울 광진구 워커힐로 177,0.0,
천일장여관,서울 광진구 긴고랑로9길 27,0.0,
휴호스텔,서울 광진구 자양로18길 26,0.0,
샤인빌 고시텔,서울 광진구 능동로16길 33,0.0,
파티룸네모 2호점,서울 광진구 능동로 137-3 402호,0.0,
해피데이패밀리 게스트하우스,서울 광진구 뚝섬로34길 25-19 현대홈타운10차아파트 1004동 402호,0.0,
티(T)리더투어,서울 광진구 강변역로4길 68,0.0,
궁전장여관,서울 광진구 동일로30길 17,0.0,
G20비즈니스서밋,서울 광진구 워커힐로 177,0.0,
이모네하우스,서울 광진구 자양로15길 108,0.0,
파랑새 하우스(BLUEBIRD HOUSE),서울 광진구 동일로26길 33,0.0,
일플러스일,서울 광진구 뚝섬로36가길 15,0.0,
중곡여관,서울 광진구 용마산로7길 6,0.0,
몰디브,서울 광진구 동일로30길 16,0.0,
호텔 드가자,서울 성동구 동일로 217 건대 드가자,2.9,"룸타입 미니룸 도보전용(넷플릭스 시청가능 / 공기청정기) (40,000원~), 룸타입 STANDARD 스탠다드(넷플릭스 시청가능 /공기청정기) (45,000원~), 룸타입 STANDARD 스탠다드 도보 전용(넷플릭스 시청가능  /공기청정기) (45,000원~), 룸타입 PREMIUM 프리미엄(넷플릭스 시청가능 /공기청정기) (50,000원~), 룸타입 ROYAL PREMIUM 로얄 프리미엄(넷플릭스 시청가능 /공기청정기) (55,000원~), 룸타입 ROYAL PREMIUM 로얄 프리미엄(무한대실 / 빠른입실 / 넷플릭스 시청가능 /공기청정기) (70,000원~)"
롯데호텔 월드,서울 송파구 올림픽로 240,3.9,"룸타입 디럭스 더블 (333,360원~), 룸타입 디럭스 트윈 (333,360원~), 룸타입 레지덴셜 디럭스 더블 (333,360원~), 룸타입 레지덴셜 디럭스 트윈 (333,360원~), 룸타입 디럭스 패밀리 트윈 (390,830원~), 룸타입 디럭스 패밀리 트윈 (411,400원~), 룸타입 디럭스 패밀리 트윈 (459,800원~), 룸타입 디럭스 패밀리 트윈 (520,300원~), 룸타입 레지덴셜 디럭스 패밀리 트윈 (390,830원~), 룸타입 레지덴셜 디럭스 패밀리 트윈 (411,400원~), 룸타입 레지덴셜 디럭스 패밀리 트윈 (459,800원~), 룸타입 레지덴셜 디럭스 패밀리 트윈 (520,300원~), 룸타입 레지덴셜 디럭스 더블더블 (425,890원~), 룸타입 레지덴셜 디럭스 더블더블 (448,310원~), 룸타입 레지덴셜 디럭스 더블더블 (471,900원~), 룸타입 레지덴셜 디럭스 더블더블 (568,700원~), 룸타입 레지덴셜 디럭스 더블더블 (653,400원~), 룸타입 레지덴셜 디럭스 더블더블 (713,900원~), 룸타입 디럭스 with 소파베드 (448,310원~), 룸타입 디럭스 with 소파베드 (471,900원~), 룸타입 디럭스 with 소파베드 (580,800원~), 룸타입 클럽 디럭스 더블 (482,790원~), 룸타입 클럽 디럭스 더블 (508,200원~), 룸타입 클럽 디럭스 트윈 (482,790원~), 룸타입 클럽 디럭스 트윈 (508,200원~), 룸타입 카카오프렌즈 패밀리 트윈 (482,790원~), 룸타입 카카오프렌즈 패밀리 트윈 (508,200원~), 룸타입 카카오프렌즈 패밀리 트윈 (617,100원~), 룸타입 브레드이발소 패밀리 트윈 (482,790원~), 룸타입 브레드이발소 패밀리 트윈 (508,200원~)"
라스테이,서울 성동구 송정6길 19-1,,"룸타입 스탠다드-유료주차(도보전용) (55,000원~), 룸타입 디럭스(주차 사전문의) (60,000원~), 룸타입 디럭스 트윈(주차 사전문의) (60,000원~), 룸타입 스위트룸(주차 사전문의) (90,000원~)"
호텔쁠랑 건대점,서울 성동구 동일로 219,1.7,"룸타입 쁘띠-도보전용(65인치LEDTV,게이밍PC,대형스파or욕조,공기살균기) (50,000원~), 룸타입 쁠랑(65인치LEDTV,게이밍PC,대형스파or욕조,공기살균기) (60,000원~), 룸타입 쁠랑 커플PC(65인치LEDTV,게이밍커플PC,대형스파or욕조,공기살균기) (70,000원~), 룸타입 특실 거울룸(65인치 LED TV,게이밍PC,욕조,공기살균기) (80,000원~), 룸타입 특실 홀리데이(65인치LEDTV,게이밍커플PC,대형스파,공기살균기) (90,000원~), 룸타입 특실 쁠랑스위트(65인치LEDTV)(복층,포켓볼,게이밍커플pc,욕조) (90,000원~), 룸타입 특실 포들럭(65인치LEDTV,노래방,게이밍커플 PC,공기살균기) (100,000원~), 룸타입 시크릿가든(수영장이용X,65인치TV,노래방,커플PC,오락기,공기살균기) (130,000원~), 룸타입 특실 클럽(65인치TV,노래방,게이밍커플PC,아케이드게임기,공기살균기) (160,000원~)"
소피텔 앰배서더 서울 호텔&서비스드 레지던스,서울 송파구 잠실로 209,4.0,"룸타입 럭셔리 킹 (385,000원~), 룸타입 럭셔리 트윈 (385,000원~), 룸타입 매니피크룸 (418,000원~), 룸타입 럭셔리 레이크 킹 (451,000원~), 룸타입 럭셔리 레이크 트윈 (451,000원~), 룸타입 럭셔리 레이크 트윈 (561,000원~), 룸타입 클럽 럭셔리(클럽 밀레짐 2인 이용 포함) (638,000원~), 룸타입 프레스티지 스위트(클럽 밀레짐 2인 이용) (715,000원~)"
호텔포코 성수,서울 성동구 성수이로 96,3.8,"룸타입 스탠다드 더블 (126,000원~), 룸타입 스탠다드 트윈 (126,000원~), 룸타입 디럭스 패밀리 트윈 (185,000원~)"
스테이온,서울 성동구 광나루로9가길 24,5.0,
신라스테이 삼성,서울 강남구 영동대로 506 유니온타워 지하4층-19층,3.0,"룸타입 [Room Only] 스탠다드 트윈 빌리지뷰 (189,750원~), 룸타입 [Room Only] 스탠다드 더블 (206,250원~)"
성수스테이,서울 성동구 송정4길 19,0.0,
