상호,주소,별점
용정성일초두부,서울 광진구 아차산로26길 42 1층,3
E차이나,서울 광진구 구의강변로 38 동서울관광호텔 1층,1
해월양꼬치샤브샤브,서울 광진구 동일로18길 10 1층,0
마마향,서울 광진구 뚝섬로27길 62 1층,0
꼬치튀김이야기,서울 광진구 동일로18길 28 1층,5
퉁낸대왕꼬치,서울 광진구 동일로18길 50 1층,0
라화방마라탕 자양점,서울 광진구 자양로 55,5
쉐프의생안심탕수육,서울 광진구 자양로 134,0
마라향 건대점,서울 광진구 동일로20길 68 1층,0
미니닭날개구이 건대입구점,서울 광진구 능동로7길 49 1층,0
송화반점,서울 광진구 동일로18길 70,0
차이홍짬뽕,서울 광진구 능동로 92 지하1층,1.5
마라하오,서울 광진구 자양로22길 33,0
짬뽕의신화 스타시티점,서울 광진구 아차산로 262 스타시티몰 지하1층 푸드갤러리,0
해룡양꼬치,서울 광진구 아차산로 395,0
마라강호마라탕 세종대점,서울 광진구 군자로 129-1 1-2층,4
미래푸드,서울 광진구 긴고랑로36길 39,0
잘잘레시피 군자점,서울 광진구 능동로34길 27 원진빌딩 1층 107호,0
마라인마라탕마라샹궈,서울 광진구 능동로44길 28,5
테이스트하우스,서울 광진구 능동로 209 세종대학교 충무관 앞,0
북경반점,서울 광진구 면목로 189,0
강휘마라갈비면,서울 광진구 동일로18길 28 1층,0
풍원양꼬치 건대본점,서울 광진구 동일로18길 41,0
중화요리의달인,서울 광진구 아차산로 444 1층,0
바로반점 건대점,서울 광진구 광나루로 380 2층 3-1호,0
매화양꼬치,서울 광진구 아차산로51길 4,0
신중국관 구의점,서울 광진구 자양로26길 98-1,0
라오탕,서울 광진구 동일로18길 91,5
원일반점,서울 광진구 동일로18길 31,5
천미향 군자점,서울 광진구 능동로 237,0
허니생안심탕수육,서울 광진구 긴고랑로36길 39,0
춘,서울 광진구 동일로20길 64,0
연숙양꼬치,서울 광진구 동일로2길 37-2,1
초선마라 광진점,서울 광진구 능동로19길 35,0
마라유혹,서울 광진구 아차산로24길 30,0
현화네꼬치구이,서울 광진구 동일로18길 26,0
짬뽕진국,서울 광진구 광나루로 369,0
스타짬뽕,서울 광진구 아차산로 272 스타시티몰 지하1층 푸드갤러리 내,0
탕수육주는육군짬뽕 광진점,서울 광진구 동일로72길 53,0
복복중식,서울 광진구 능동로19길 18 2층,0
쉐프의생안심탕수육&오늘애묵은지김치찜 광진점,서울 광진구 아차산로55길 26 1층,0
방실꼬 건대점,서울 광진구 능동로7길 50,5
디차이나,서울 광진구 면목로11길 34 1층,0
고기주는옥천냉면 구의점,서울 광진구 아차산로49길 41-5,0
도야짬뽕,서울 광진구 아차산로 309,0
지앤빙,서울 광진구 능동로13길 39,0
탕수육참잘하는집탕참 자양점,서울 광진구 자양로11길 12,0
수안심탕수육 중곡점,서울 광진구 긴고랑로15길 14,0
도쿄짬뽕 커먼그라운드점,서울 광진구 아차산로 200 3층,2
샤부마라,서울 광진구 긴고랑로 63,0
장호각 구의1점,서울 광진구 자양로26길 98-1,0
홍보성중화요리,서울 광진구 자양로 191,0
화양키친,서울 광진구 군자로7길 3,0
1985탕수홍선생,서울 광진구 광나루로30나길 23 1층,0
홍콩할매누들 어린이대공원지점,서울 광진구 능동로19길 5 지하1층,0
스타빙(Starving),서울 광진구 뚝섬로52라길 38 1층,5
주원에프엔에프,서울 광진구 아차산로 221 2층,0
록향연,서울 광진구 뚝섬로27길 55 2층,0
소림타운 광진점,서울 광진구 광나루로 545 래미안파크스위트 상가A동 1층 5호,0
고향양육관,서울 광진구 동일로18길 61,0
우리집양꼬치,서울 광진구 동일로18길 26,0
청죽소헌,서울 광진구 동일로18길 28,5
투루판위창,서울 광진구 동일로18길 13,0
아바이아매장국집,서울 광진구 동일로18길 26 2층,0
연경,서울 광진구 자양로 135 자양오피스텔 1층,0
홍콩식보양훠궈,서울 광진구 동일로18길 96,0
요리왕,서울 성동구 연무장길 120 1층,2.9
바오 서울,서울 성동구 연무장길 110 1층 103호,3.9
대산자,"서울 성동구 아차산로17길 14-1 지하1층, 1층",5
동강,서울 성동구 동일로 143 성수1차 대우아파트 1층 110호,4.3
호호반점 성수낙낙점,서울 성동구 아차산로17길 48 지하1층 108호,2.4
달구벌반점,서울 성동구 아차산로13길 37 2층,3.6
크리스탈드래곤,서울 성동구 아차산로17길 48 지하1층 RB110호,2.8
문화반점,서울 성동구 광나루로 307,3.7
성수속향연,서울 성동구 성수이로 65 협성빌딩 1층 102호,
지우관,서울 성동구 뚝섬로 427-15 지하1층,4.8
북경,서울 성동구 광나루로 325,4.6
