상호,업종,주소,메뉴
네일빌리언 건대점,"네일아트,네일샵",서울 광진구 아차산로 345 래미안프리미어팰리스 1층 제112호,"손케어+영양제(회원)(15,000원), 손케어+영양제(17,000원), 맨즈케어+영양제(25,000원), 발케어(회원)(20,000원), 발케어(23,000원), 맨즈발케어(30,000원), 내성발톱교정(50,000원), 첫방문젤네일(29,000원), 이벤트 전체연장+풀컬러(89,000원), 젤네일(회원)(35,000원), 젤네일(현금결제시회원가)(40,000원), 매니큐어제거비용(5,000원), 젤패디(회원)(45,000원), 젤패디(현금결제시회원가)(50,000원), 프렌치추가(25,000원), 그라데이션추가(20,000원), 젤제거(회원자샵)(5,000원), 젤제거(자샵)(10,000원), 젤제거(타샵)15,000원부터~(15,000원), 연장젤제거추가금액(10,000원), 랩핑(7,000원), 랩핑(회원)(5,000원), 연장개당(10,000원)"
네일에땅,"네일아트,네일샵",서울 광진구 동일로20길 113 2층,"풀 컬러(35,000원), 네일케어+영양(15,000원), 맨즈케어(25,000원), 그라데이션(45,000원), 프렌치(50,000원), 페디케어+영양(25,000원), 맨즈케어(30,000원), 풀 컬러(40,000원), 그라데이션(50,000원), 프렌치(55,000원), 젤 제거만(자샵)(1,000원), 젤 제거만(타샵)(2,000원), 컬러 추가(3,000원), 펄 추가(10,000원), 자석, 파우더(20,000원), 랩핑(개당)(5,000원), 팁 연장(개당)(10,000원), 팁 전체연장(80,000원)"
소소헤어,미용실,서울 광진구 자양로5길 7 1층,"앞머리컷(5,000원), 남성컷(20,000원), 여성컷(25,000원), 앞머리펌(30,000원), 다운펌(25,000원), 뿌리펌(60,000원), 남성일반펌(70,000원), 남성디자인펌(80,000원), 여성일반펌(80,000원), 여성디자인펌(100,000원), 셋팅 or 디지털펌(130,000원), 볼륨매직(150,000원), 매직셋팅(180,000원), 뿌리매직(100,000원), 남성 볼륨매직(100,000원), 뿌리염색(55,000원), 남성염색(60,000원), 여성염색(80,000원), 디자인컬러(100,000원), 물광크리닉(70,000원), 두피 크리닉 A(50,000원), 두피 크리닉 B(80,000원)"
라보떼래쉬 건대점,"속눈썹증모,연장",서울 광진구 동일로22길 104 6층,
에이컨셉 구의점,미용실,서울 광진구 광나루로52길 106,"(신규)디자인컷-남성(16,500원), (신규)디자인컷-여성(18,000원), (신규)다운펌+컷(33,600원), (신규)디자인펌(56,000원), (신규)디지털펌(84,000원), (신규)셋팅펌(84,000원), (신규)매직(105,000원), (신규)볼륨매직(105,000원), (신규)매직셋팅펌(105,000원), (신규)뿌리염색(40,000원), (신규)사사키염색(49,000원), (신규)로레알(웰라)염색(56,000원), (신규)프리미어탈색(56,000원)"
헤어웨이 구의강변점,미용실,서울 광진구 아차산로 481 2층,"여성 커트 (직급별 차등 요금)(22,000원), 남성 커트 (직급별 차등 요금)(22,000원), 일반펌 (직급별, 기장별 차등요금)(90,000원), 열펌(직급별, 기장별 차등요금)(130,000원), 전체 염색(기장별 차등요금)(80,000원), 모발케어 (기장별 차등요금)(70,000원)"
아테나뷰티 왁싱 군자역점,"왁싱,제모",서울 광진구 능동로 276 301호,
헤어온드유 군자역점,미용실,서울 광진구 천호대로 576 2층,"남성컷(20,000원), 여성컷(22,000원), 디자인컷 패키지(42,000원), 주니어컷(15,000원), 스켈링컷(두피스케일링+컷)(40,000원), 남성 일반펌(60,000원), 여성 일반펌(80,000원), 뿌리펌(50,000원), 부분펌(45,000원), 앞머리펌(25,000원), 베이직 매직/볼륨매직/셋팅펌(120,000원), 프리미엄 매직/볼륨매직/셋팅펌(150,000원), 베이직 매직셋팅(180,000원), 프리미엄 매직셋팅(220,000원), 남성 볼륨매직(100,000원), 남성 아이롱펌(120,000원), 남성염색(60,000원), 여성염색(100,000원), 뿌리염색(35,000원)"
리안헤어 구의역점,미용실,서울 광진구 아차산로 375 크레신타워3차,"남성컷(21,000원), 여성컷(23,000원), 남학생컷(19,000원), 여학생컷(20,000원), 일반펌(70,000원), 디지털,셋팅(98,000원), 볼륨매직(105,000원), 매직셋팅(133,000원), 뿌리염색(55,000원), 전체염색(70,000원), 하오니코 크리닉(56,000원), 무코타 크리닉(63,000원), 기본 드라이(20,000원), 아이롱 드라이(25,000원)"
네일메이커 건대2호점,"네일아트,네일샵",서울 광진구 아차산로31길 27 2층 네일메이커,"젤풀칼라+케어(25,000원), 자석네일(40,000원), 전체연장+젤풀칼라+케어(76,900원), 이달의아트+케어(35,000원), 프렌치+케어(38,000원), 그라데이션+케어(38,000원), 풀칼라+케어(35,000원), 이달의아트+케어(40,000원), 프렌치+케어(48,000원), 그라데이션+케어(48,000원), 쏙오프(10,000원), 케어+영양(남)(20,000원)"
