가게명,지역화폐,주메뉴,동,상세주소,평점,메뉴목록
신성횟집,O,회,중곡동,서울 광진구 영화사로 62,4.3,"참돔(42,000원), 완도대광어(42,000원), 연어(40,000원), 도다리세꼬시(37,000원), 제철 모듬회(37,000원), 대하 구이(30,000원), 팔딱팔딱 살아있네 산 새우(28,000원), 완도대광어(42,000원), 완도대광어1마리（3kg）(120,000원), 완도대광어모듬(42,000원), 대광어＋도미(42,000원), 참돔모듬회（참돔외3종）(42,000원), 광어＋우럭(42,000원), 우럭(42,000원), 쌈야채(2,000원), 스끼다시5종(7,000원), 광어 한줄(12,000원), 우럭 한줄(12,000원), 연어 한줄(12,000원), 도다리1마리세꼬시(22,000원), 멍게 3마리(6,000원), 낙지 1마리(9,000원), 전복 2마리(7,000원), 매운탕（조리）(8,000원), 매운탕（비조리）(6,000원), 우럭 한마리.（600 ~700）(22,000원), 산 새우（7마리）(14,000원), 연어＋광어(44,000원), 연어＋광어＋우럭(44,000원), 연어모듬회(44,000원)"
마포종점,O,"육류,고기",중곡동,서울 광진구 동일로76길 51 1층,4.8,"흑돼지소금구이(1인분)(15,000원), 생삼겹살(1인분)(15,000원), 고추장삼겹살(1인분)(15,000원), 돼지왕갈비(1인분)(15,000원), 돼지껍데기(1인분)(9,000원)"
금강숯불생고기,O,"육류,고기",중곡동,서울 광진구 용마산로7길 9 1층,5.0,"삼겹살(15,000원), 냉면(6,000원), 등심(33,000원)"
심마니유황오리,O,오리,중곡동,서울 광진구 긴고랑로 85,3.5,"윙 오리탕(12,000원), 육개장(11,000원), 흑염소탕(17,000원), 고기만두(10개)(10,000원), 오리덮밥(12,000원), 흑염소전골(27,000원), (특) 흑염소탕(22,000원), 더덕구이(22,000원), 능이오리백숙(85,000원), 옻오리백숙(60,000원), 한방오리백숙(60,000원), 능이 닭백숙(85,000원), 옻닭 백숙(60,000원), 한방 닭백숙(60,000원), 김치만두(10개)(10,000원), 만두 반반(김치만두5/고기만두5)(10,000원), 코카콜라 355mL(2,000원), 칠성사이다 355mL(2,000원), 환타파인애플 355mL(2,000원), 공기밥(1,000원), 처음처럼(5,000원), 참이슬 후레쉬(5,000원), 참이슬 오리지널(5,000원), 새로(5,000원), 진로 이즈백(5,000원), 청하(6,000원), 카스(5,000원), 켈리(5,000원), 테라(5,000원)"
포계촌닭한마리,O,닭요리,중곡동,서울 광진구 능동로 380 1층,5.0,"닭한마리 (소)(26,000원), 닭한마리 (중)(36,000원), 닭한마리 (대)(46,000원), 닭도리탕 (소)(30,000원), 닭도리탕 (중)(40,000원), 닭도리탕 (대)(50,000원), 부대찌개(9,000원)"
고향토종흑돼지,O,"육류,고기",중곡동,서울 광진구 용마산로21길 28,3.3,"한우생등심(1인분)(35,000원), 생삼겹살(1인분)(14,000원), 목살(1인분)(14,000원), 갈비탕(8,000원), 돌솥비빔밥(6,000원)"
영일만수산시장,O,회,중곡동,서울 광진구 용마산로6길 9 1층,3.0,"보쌈(중)(40,000원), 보쌈정식(15,000원), 보리밥(8,000원), 칼국수(8,000원), 수제비(8,000원), 묵채밥(8,000원), 만둣국(계절메뉴)(8,000원), 떡만두(계절메뉴)(8,000원), 왕만두(계절메뉴)(8,000원)"
왕십리곱창,O,"곱창,막창",중곡동,서울 광진구 긴고랑로 115 1층,4.5,"막창(12,000원), 야채곱창(11,000원), 알곱창(13,000원), 오돌뼈(11,000원), 뼈없는닭발(11,000원), 치즈곱창(13,000원)"
착한아구찜,O,아구,중곡동,서울 광진구 긴고랑로 81-1 1층,4.7,
아차산짝갈비,O,갈비,중곡동,서울 광진구 천호대로127길 16 1층 104호,5.0,"투플한우모듬(54,000원), 통돼지 폭립(46,000원)"
태능숯불갈비,O,갈비,중곡동,서울 광진구 용마산로7길 5,3.0,"생등심 (200g)(30,000원), 돼지갈비 (300g)(12,000원), 삼겹살 (200g)(12,000원), 물냉면(5,000원), 비빔냉면(5,000원)"
아감한우정육식당,O,"육류,고기",중곡동,서울 광진구 영화사로 7,0.0,"한우우족탕(15,000원), 육회비빔밥(8,000원), 돼지고기모듬(3인분)(38,000원), 한우생고기모듬(3인분)(70,000원), 꽃등심(1인분)(30,000원)"
청아정,O,국수,중곡동,서울 광진구 면목로 188 1층,2.0,
백제곱창,O,"곱창,막창",중곡동,서울 광진구 자양로45길 42 1층,4.5,"야채곱창(11,000원), 알곱창(13,000원), 치즈곱창(14,000원), 순대곱창(15,000원), 소금막창구이(13,000원), 양념막창구이(14,000원), 닭똥집(12,000원), 오돌뼈(12,000원)"
명인명가,O,한식,중곡동,서울 광진구 능동로50길 8,5.0,"제육우렁쌈밥(2인이상)(10,000원), 오징어볶음(9,000원), 순두부(8,000원), 수제칼국수(8,000원), 냉모밀(8,000원), 해물부추전(13,000원), 수제알만두(5,000원)"
여수회탕탕탕,O,회,중곡동,서울 광진구 능동로43길 42,5.0,
다람쥐마을,O,한식,중곡동,서울 광진구 용마산로 154 1층,5.0,"도토리 사골탕(13,000원), 소 갈비찜(55,000원), 도토리 사골 갈비탕(17,000원), 도토리 묵 비빔밥(10,000원), 도토리 들깨 수제비(13,000원), 소 갈비찜 (대)(79,000원), 도토리 묵무침(15,000원), 도토리 쟁반국수(23,000원)"
홍어모녀,O,"해물,생선",중곡동,서울 광진구 용마산로2길 35 1층,1.0,"[]품절주의 한정수량[]홍어 애(간)(30,000원), 홍어삼합 소(45,000원), 홍어삼합 중(55,000원), [가족 다같이] 홍어삼합 대(65,000원), 홍어삼합 특(75,000원), 홍어사시미 소(30,000원), 홍어사시미 중(40,000원), 홍어사시미 대(50,000원), 홍어사시미 특(60,000원), 홍어무침 [소](30,000원), 홍어무침 [중](45,000원), 홍어무침 [대](60,000원), 배추김치 추가(5,000원), 미나리 추가(2,000원), 코카콜라 355mL(2,000원), 칠성사이다 355mL(2,000원), 칠성사이다 제로 355mL(2,000원), 카스(5,000원), 처음처럼(5,000원), 참이슬 후레쉬(5,000원), 참이슬 오리지널(5,000원), 새로(5,000원), 장수막걸리(5,000원), 지평막걸리(5,000원), 진로zero(5,000원), 배다리 막걸리(5,000원)"
강변오리,O,오리,중곡동,서울 광진구 긴고랑로 67-1 1층,5.0,
흥부왕족발,O,"족발,보쌈",중곡동,서울 광진구 면목로 114 중곡제일골목시장 1층 4호,3.7,"족발(27,000원), 국수(9,000원), 골뱅이무침(25,000원), 소면추가(1,000원), 공기밥(1,000원), 부침개(3,000원), 콜라 355mL(2,000원), 사이다 355mL(2,000원)"
황고집,O,"곱창,막창",중곡동,서울 광진구 답십리로 370,5.0,"야채곱창(1인)(9,000원), 소금구이 왕곱창(1인)(10,000원), 오돌뼈(1인)(9,000원), 새우소금구이(1인)(13,000원), 무뼈닭발(1인)(12,000원)"
강남찌개,O,"찌개,전골",중곡동,서울 광진구 능동로38길 3 1층,3.8,"양푼돼지고기김치찌개 (2인)(14,000원), 동태탕 (2인)(14,000원), 알탕 (2인)(16,000원), 동태+알+내장(30,000원), 동태반+알반 (특)(26,000원)"
중곡동손칼국수,O,칼국수,중곡동,서울 광진구 능동로 400 보건복지행정타운 1층 131호,4.9,"칼국수(8,000원), 콩국수(11,000원), 수제비(9,000원), 손만두(9,000원), 떡만두국(9,000원)"
이가네바지락칼국수,O,칼국수,중곡동,서울 광진구 면목로 109-1,4.0,
명가순대국,O,순대,중곡동,서울 광진구 면목로 191 1층,4.7,
보글보글양푼찌개마을,O,"찌개,전골",중곡동,서울 광진구 긴고랑로 75,4.1,"생고기김치찌개 (중)(22,000원), 꽁치김치찌개 (중)(22,000원), 스팸부대찌개 (중)(22,000원), 동태찌개 (중)(22,000원), 닭도리탕 (중)(32,000원), 제육볶음(25,000원), 생삼겹살 (180g)(15,000원), 소불고기전골(30,000원)"
이수전,O,한식,중곡동,서울 광진구 천호대로127길 16 1층,3.9,"육전(20,000원), 깻잎전(15,000원), 가지만두(16,000원), 왕동그랑땡(15,000원), 동태전(15,000원), 부추전(12,000원), 김치전(12,000원), 호박전(10,000원), 떡볶이(10,000원), 김치오뎅탕(14,000원), 오뎅탕(13,000원), 꽁치김치찌개(16,000원), 먹태(15,000원), 어리굴젓(9,000원)"
한우특가,O,"육류,고기",중곡동,서울 광진구 능동로 405 1층,5.0,"한우갈비한판(56,000원), 한우모듬구이한판(56,000원), 한우명품특수한판(68,000원), 통갈비살한판(56,000원), 통안창살한판(68,000원), 한우육회(18,000원), 한우라면(6,000원)"
면곡뼈다귀감자탕,O,감자탕,중곡동,서울 광진구 답십리로 370-1 1층,5.0,"해물뼈다귀찜 (소)(34,000원), 뼈다귀감자탕 (소)(29,000원), 왕새우튀김 (4P)(20,000원), 감자튀김(8,000원), 뼈해장국(9,000원), 우갈탕(11,000원), 우갈탕면(12,000원), 옛날돈까스(8,000원), 북어콩나물해장국 (점심메뉴)(7,000원), 소고기뚝배기 (점심메뉴)(7,000원)"
아차산흑돼지,O,삼겹살,중곡동,서울 광진구 영화사로 11 1층,0.0,"소고기한판(400g)(38,000원), 흑돼지생삼겹(1인분)(17,000원), 흑돼지목살(1인분)(17,000원), 국내산생삼겹(1인분)(14,000원), 국내산등목살(1인분)(14,000원), 흑돼지김치짜글이(2인분기준)(25,000원), 살치꽃살(1인분)(15,000원), 갈비살(1인분)(15,000원), 우삼겹(1인분)(15,000원)"
부성생고기,O,"육류,고기",중곡동,서울 광진구 긴고랑로15길 3 1층,0.0,"오겹살(600g)(39,000원), 돼지목살(600g)(39,000원), 항정살(500g)(45,000원), 갈매기살(300g)(39,000원), 양고기(600g)(39,000원), 불낙전골(600g)(39,000원), 갈비탕(14,000원), 김치찜(2인이상)(12,000원), 부대찌개(2인이상)(9,000원), 김치찌개(9,000원), 차돌된장(9,000원), 냉면(7,000원)"
소문식당,O,한식,중곡동,서울 광진구 답십리로78길 5 면곡시장 1층,0.0,"백반(7,000원), 순두부찌개(8,000원), 된장찌개(8,000원), 김치찌개(8,000원), 제육볶음(10,000원), 오징어볶음(10,000원), 청국장(10,000원), 수제비(8,000원), 등갈비 (소)(25,000원), 한방오리백숙(65,000원), 한방닭백숙(55,000원), 부대찌개 (2인이상)(10,000원), 동태찌개 (2인이상)(10,000원), 조기매운탕 (2인이상)(12,000원), 갈치조림 (2인이상)(12,000원), 생선구이(12,000원), 삼겹살 (1인분)(15,000원), 닭볶음탕(35,000원)"
다비다식당,O,한식,중곡동,서울 광진구 동일로 444,5.0,"능이,닭,오리,백숙(70,000원), 옻나무,닭,오리,백숙(55,000원), 엄나무,닭,오리,백숙(55,000원), 삼겹살(14,000원), 닭도리탕 (토종닭)(50,000원), 닭도리탕 (육계닭)(35,000원), 뚝불고기 백반(9,000원), 오징어볶음(9,000원), 동태찌개(9,000원), 제육백반(8,000원), 김치찌개(8,000원), 된장찌개(8,000원), 청국장(8,000원), 순두부찌개(8,000원), 백반정식(7,000원)"
집뜰,O,한식,중곡동,서울 광진구 자양로43길 65 1층,4.5,"집뜰정식(7,000원), 김치찌개(6,000원), 삼겹살(1인분)(12,000원), 닭볶음탕(30,000원), 양푼동태찌개(18,000원)"
수북전집,O,한식,중곡동,서울 광진구 자양로43길 85 1층,4.8,"수북모둠전(24,000원), 해물파전(14,000원), 고기김치전(14,000원), 감자전(10,000원), 소고기육전(19,000원), 도토리묵무침(15,000원), 키조개관자탕(17,000원)"
송하두부마을,O,한식,중곡동,서울 광진구 용마산로 55 1층,5.0,"김치찌개(8,000원), 된장찌개(8,000원), 해물순두부(9,000원), 두부찌개(8,000원), 들깨순두부(8,000원), 감자전(12,000원), 두부전골 (소)(20,000원), 옻오리백숙(70,000원), 엄나무오리백숙(70,000원), 닭도리탕(40,000원), 제육볶음(20,000원), 김치만두국(8,000원), 카레순두부(8,000원), 김치순두부(8,000원), 만두순두부(8,000원), 초당순두부(8,000원), 두부김치(25,000원), 군두부(13,000원), 생두부(12,000원), 뼈해장국(8,000원), 순두부계란찜(8,000원), 감자탕 (소)(20,000원)"
마장솥뚜껑,O,삼겹살,중곡동,서울 광진구 자양로43길 151,5.0,"꽃등심 (1인분)(33,000원), 차돌박이 (1인분)(17,000원), 삼겹살 (1인분)(12,000원), 목살 (1인분)(12,000원), 냉면(5,000원)"
삼강식당,O,한식,중곡동,서울 광진구 천호대로101길 49,4.3,
